"",BBK01.OEAK06S,BBK01.OEAK06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:41,
2002-01,0.065,
2002-04,0.064,
2002-07,0.065,
2002-10,0.067,
2003-01,0.064,
2003-04,0.063,
2003-07,0.059,
2003-10,0.060,
2004-01,0.061,
2004-04,0.064,
2004-07,0.063,
2004-10,0.064,
2005-01,0.066,
2005-04,0.065,
2005-07,0.064,
2005-10,0.062,
2006-01,0.060,
2006-04,0.061,
2006-07,0.061,
2006-10,0.064,
2007-01,0.064,
2007-04,0.058,
2007-07,0.060,
2007-10,0.062,
2008-01,0.062,
2008-04,0.062,
2008-07,0.064,
2008-10,0.068,
2009-01,0.068,
2009-04,0.063,
2009-07,0.058,
2009-10,0.057,
2010-01,0.052,
2010-04,0.049,
2010-07,0.048,
2010-10,0.047,
2011-01,0.051,
2011-04,0.052,
2011-07,0.052,
2011-10,0.055,
2012-01,0.055,
2012-04,0.058,
2012-07,0.056,
2012-10,0.053,
2013-01,0.050,
2013-04,0.049,
2013-07,0.047,
2013-10,0.044,
2014-01,0.045,
2014-04,0.037,
2014-07,0.032,
