"",BBDR1.Q.DE.N.VDP.VEGHGESK.P.I03.A,BBDR1.Q.DE.N.VDP.VEGHGESK.P.I03.A_FLAGS
"","Verband deutscher Pfandbriefbanken / Price index for owner occupied housing, owner-occupied houses / Germany / Unadjusted figure",
unit,2003=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 14:35:39,
2003-01,100.6,
2003-04,100.1,
2003-07,99.3,
2003-10,99.9,
2004-01,100.0,
2004-04,100.9,
2004-07,100.3,
2004-10,101.3,
2005-01,104.9,
2005-04,102.9,
2005-07,105.1,
2005-10,103.7,
2006-01,103.0,
2006-04,104.8,
2006-07,105.6,
2006-10,104.6,
2007-01,104.1,
2007-04,103.9,
2007-07,104.5,
2007-10,104.5,
2008-01,107.4,
2008-04,108.8,
2008-07,109.0,
2008-10,109.6,
2009-01,108.8,
2009-04,106.8,
2009-07,106.8,
2009-10,106.9,
2010-01,106.2,
2010-04,108.0,
2010-07,109.0,
2010-10,109.0,
2011-01,109.3,
2011-04,109.4,
2011-07,110.9,
2011-10,111.0,
2012-01,112.1,
2012-04,113.3,
2012-07,113.4,
2012-10,113.9,
2013-01,114.9,
2013-04,115.9,
2013-07,117.2,
2013-10,116.4,
2014-01,117.0,
2014-04,118.9,
2014-07,121.1,
2014-10,121.9,
