"",BBEX3.M.LKR.EUR.CA.AC.A01,BBEX3.M.LKR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Sri Lanka  / EUR 1 = LKR ... (middle),
unit,LKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:49,
1999-01,78.605,
1999-02,76.410,
1999-03,74.390,
1999-04,74.110,
1999-05,73.780,
1999-06,73.865,
1999-07,76.325,
1999-08,75.225,
1999-09,76.360,
1999-10,75.225,
1999-11,72.730,
1999-12,72.720,
2000-01,71.720,
2000-02,71.395,
2000-03,70.620,
2000-04,67.370,
2000-05,69.585,
2000-06,75.315,
2000-07,72.420,
2000-08,69.915,
2000-09,70.025,
2000-10,66.810,
2000-11,69.710,
2000-12,76.740,
2001-01,83.345,
2001-02,78.910,
2001-03,76.990,
2001-04,80.305,
2001-05,78.060,
2001-06,76.690,
2001-07,78.820,
2001-08,82.705,
2001-09,82.430,
2001-10,81.850,
2001-11,82.620,
2001-12,82.230,
2002-01,81.440,
2002-02,81.400,
2002-03,83.870,
2002-04,86.835,
2002-05,90.010,
2002-06,94.650,
2002-07,94.720,
2002-08,94.780,
2002-09,94.230,
2002-10,94.710,
2002-11,95.845,
2002-12,99.760,
2003-01,104.805,
2003-02,104.540,
2003-03,103.530,
2003-04,108.040,
2003-05,115.400,
2003-06,111.010,
2003-07,110.110,
2003-08,105.215,
2003-09,109.685,
2003-10,110.550,
2003-11,114.755,
2003-12,121.605,
2004-01,120.730,
2004-02,123.445,
2004-03,118.970,
2004-04,117.580,
2004-05,120.915,
2004-06,123.735,
2004-07,124.555,
2004-08,124.460,
2004-09,127.785,
2004-10,132.495,
2004-11,138.980,
2004-12,142.220,
2005-01,129.570,
2005-02,131.940,
2005-03,128.435,
2005-04,128.940,
2005-05,125.320,
2005-06,120.895,
2005-07,122.025,
2005-08,123.810,
2005-09,121.930,
2005-10,122.860,
2005-11,120.070,
2005-12,121.045,
2006-01,123.620,
2006-02,121.460,
2006-03,124.965,
2006-04,128.690,
2006-05,132.385,
2006-06,132.065,
2006-07,132.605,
2006-08,131.225,
2006-09,131.835,
2006-10,136.675,
2006-11,142.230,
2006-12,141.520,
2007-01,140.710,
2007-02,143.680,
2007-03,145.740,
2007-04,149.575,
2007-05,148.895,
2007-06,149.620,
2007-07,153.305,
2007-08,154.425,
2007-09,160.645,
2007-10,160.740,
2007-11,162.990,
2007-12,160.240,
2008-01,159.565,
2008-02,163.650,
2008-03,170.235,
2008-04,167.875,
2008-05,167.295,
2008-06,170.040,
2008-07,167.790,
2008-08,158.975,
2008-09,154.925,
2008-10,141.375,
2008-11,142.055,
2008-12,159.510,
2009-01,147.110,
2009-02,146.755,
2009-03,152.940,
2009-04,159.775,
2009-05,160.865,
2009-06,162.275,
2009-07,162.340,
2009-08,164.165,
2009-09,167.925,
2009-10,170.455,
2009-11,172.385,
2009-12,163.675,
2010-01,160.145,
2010-02,155.655,
2010-03,152.910,
2010-04,150.850,
2010-05,140.355,
2010-06,138.630,
2010-07,147.120,
2010-08,142.655,
2010-09,152.380,
2010-10,155.390,
2010-11,146.390,
2010-12,147.775,
2011-01,151.085,
2011-02,152.225,
2011-03,156.150,
2011-04,162.965,
2011-05,157.795,
2011-06,158.740,
2011-07,156.945,
2011-08,159.520,
2011-09,149.365,
2011-10,155.005,
2011-11,151.970,
2011-12,147.480,
2012-01,150.105,
2012-02,163.500,
2012-03,170.660,
2012-04,171.905,
2012-05,163.510,
2012-06,168.395,
2012-07,161.735,
2012-08,165.935,
2012-09,167.405,
2012-10,168.465,
2012-11,169.165,
2012-12,168.065,
2013-01,171.740,
2013-02,167.460,
2013-03,162.125,
2013-04,165.950,
2013-05,164.865,
2013-06,170.330,
2013-07,174.345,
2013-08,176.525,
2013-09,177.955,
2013-10,179.730,
2013-11,178.480,
2013-12,180.445,
2014-01,177.065,
2014-02,179.535,
2014-03,179.670,
2014-04,180.240,
2014-05,177.375,
2014-06,177.755,
2014-07,174.340,
2014-08,171.545,
2014-09,165.385,
2014-10,164.895,
2014-11,163.845,
2014-12,160.515,
2015-01,150.935,
"","Source: Calculated on the basis of the buying and selling rates of the following banks:  Since 2005 Central Bank of Sri Lanka, Colombo  1999 - 2004 Commercial Bank of Ceylon Ltd., Colombo",
