"",BBK01.OELI03J,BBK01.OELI03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:39,
2002-01,0.239,
2002-04,0.217,
2002-07,0.211,
2002-10,0.217,
2003-01,0.210,
2003-04,0.184,
2003-07,0.193,
2003-10,0.200,
2004-01,0.196,
2004-04,0.183,
2004-07,0.180,
2004-10,0.190,
2005-01,0.283,
2005-04,0.229,
2005-07,0.235,
2005-10,0.233,
2006-01,0.263,
2006-04,0.263,
2006-07,0.264,
2006-10,0.250,
2007-01,0.231,
2007-04,0.249,
2007-07,0.242,
2007-10,0.247,
2008-01,0.244,
2008-04,0.261,
2008-07,0.232,
2008-10,0.287,
2009-01,0.243,
2009-04,0.210,
2009-07,0.175,
2009-10,0.168,
2010-01,0.165,
2010-04,0.143,
2010-07,0.134,
2010-10,0.136,
2011-01,0.141,
2011-04,0.150,
2011-07,0.160,
2011-10,0.161,
2012-01,0.145,
2012-04,0.135,
2012-07,0.125,
2012-10,0.120,
2013-01,0.114,
2013-04,0.106,
2013-07,0.110,
2013-10,0.105,
2014-01,0.126,
2014-04,0.122,
2014-07,0.118,
