"",BBFN1.M.DE.N.1.L.AZ.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AZ.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:52,
2006-03,0.000,
2006-04,0.000,
2006-05,0.000,
2006-06,0.000,
2006-07,0.000,
2006-08,0.000,
2006-09,0.000,
2006-10,0.000,
2006-11,0.001,
2006-12,0.001,
2007-01,0.003,
2007-02,0.003,
2007-03,0.003,
2007-04,0.003,
2007-05,0.005,
2007-06,0.003,
2007-07,0.003,
2007-08,0.002,
2007-09,0.004,
2007-10,0.003,
2007-11,0.002,
2007-12,0.003,
2008-01,0.003,
2008-02,0.003,
2008-03,0.036,
2008-04,0.037,
2008-05,0.037,
2008-06,0.038,
2008-07,0.038,
2008-08,0.038,
2008-09,0.039,
2008-10,0.039,
2008-11,0.039,
2008-12,0.039,
2009-01,0.039,
2009-02,0.039,
2009-03,0.040,
2009-04,0.041,
2009-05,0.041,
2009-06,0.041,
2009-07,0.041,
2009-08,0.041,
2009-09,0.042,
2009-10,0.042,
2009-11,0.042,
2009-12,0.030,
2010-01,0.030,
2010-02,0.031,
2010-03,0.032,
2010-04,0.034,
2010-05,0.034,
2010-06,0.036,
2010-07,0.036,
2010-08,0.034,
2010-09,0.036,
2010-10,0.035,
2010-11,0.036,
2010-12,0.034,
2011-01,0.034,
2011-02,0.034,
2011-03,0.034,
2011-04,0.034,
2011-05,0.036,
2011-06,0.031,
2011-07,0.022,
2011-08,0.022,
2011-09,0.021,
2011-10,0.023,
2011-11,0.049,
2011-12,0.047,
2012-01,0.047,
2012-02,0.051,
2012-03,0.045,
2012-04,0.045,
2012-05,0.045,
2012-06,0.019,
2012-07,0.021,
2012-08,0.019,
2012-09,0.019,
2012-10,0.019,
2012-11,0.019,
2012-12,0.024,
2013-01,0.024,
2013-02,0.027,
2013-03,0.027,
2013-04,0.028,
2013-05,0.028,
2013-06,0.027,
2013-07,0.024,
2013-08,0.027,
2013-09,0.034,
2013-10,0.034,
2013-11,0.034,
2013-12,0.042,
2014-01,0.042,
2014-02,0.041,
2014-03,0.041,
2014-04,0.041,
2014-05,0.041,
2014-06,0.041,
2014-07,0.031,
2014-08,0.031,
2014-09,0.028,
2014-10,0.028,
2014-11,0.028,
2014-12,0.026,
