"",BBK01.OEXB05O,BBK01.OEXB05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:09,
2002-01,-31.699,
2002-04,-32.735,
2002-07,-32.901,
2002-10,-31.554,
2003-01,-31.458,
2003-04,-31.949,
2003-07,-32.185,
2003-10,-31.819,
2004-01,-32.065,
2004-04,-33.275,
2004-07,-34.787,
2004-10,-36.061,
2005-01,4.632,
2005-04,4.428,
2005-07,4.501,
2005-10,4.456,
2006-01,4.495,
2006-04,4.096,
2006-07,4.437,
2006-10,4.593,
2007-01,4.541,
2007-04,4.414,
2007-07,4.579,
2007-10,4.658,
2008-01,4.733,
2008-04,4.713,
2008-07,4.777,
2008-10,4.507,
2009-01,5.319,
2009-04,5.138,
2009-07,5.327,
2009-10,5.358,
2010-01,5.001,
2010-04,5.040,
2010-07,5.620,
2010-10,5.883,
2011-01,5.325,
2011-04,5.274,
2011-07,5.347,
2011-10,5.331,
2012-01,5.774,
2012-04,6.044,
2012-07,5.862,
2012-10,5.878,
2013-01,5.783,
2013-04,5.872,
2013-07,5.750,
2013-10,5.540,
2014-01,5.551,
2014-04,5.525,
2014-07,5.692,
