"",BBFB1.M.N.DE.W1.S1.S1.T.C.SJ._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SJ._Z._Z._Z._T._X.N_FLAGS
"",Current account / Other business services / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:51,
1991-01,843.901,
1991-02,752.999,
1991-03,699.025,
1991-04,732.588,
1991-05,713.117,
1991-06,691.492,
1991-07,838.724,
1991-08,798.281,
1991-09,634.000,
1991-10,760.894,
1991-11,708.036,
1991-12,998.452,
1992-01,990.565,
1992-02,755.149,
1992-03,791.674,
1992-04,820.731,
1992-05,797.400,
1992-06,722.337,
1992-07,808.167,
1992-08,704.285,
1992-09,692.975,
1992-10,814.634,
1992-11,801.664,
1992-12,1201.236,
1993-01,908.585,
1993-02,849.378,
1993-03,842.526,
1993-04,900.444,
1993-05,773.463,
1993-06,881.569,
1993-07,1116.826,
1993-08,859.276,
1993-09,877.998,
1993-10,923.683,
1993-11,985.035,
1993-12,1135.515,
1994-01,1234.858,
1994-02,831.691,
1994-03,964.409,
1994-04,955.297,
1994-05,891.450,
1994-06,909.589,
1994-07,990.183,
1994-08,976.396,
1994-09,946.393,
1994-10,894.203,
1994-11,839.346,
1994-12,1012.341,
1995-01,1305.764,
1995-02,1094.355,
1995-03,895.274,
1995-04,926.392,
1995-05,953.210,
1995-06,902.837,
1995-07,1054.395,
1995-08,1069.604,
1995-09,867.139,
1995-10,1106.334,
1995-11,1016.989,
1995-12,1445.497,
1996-01,1190.311,
1996-02,999.921,
1996-03,966.552,
1996-04,1040.036,
1996-05,897.495,
1996-06,1001.882,
1996-07,1133.097,
1996-08,1077.458,
1996-09,988.716,
1996-10,1068.732,
1996-11,986.906,
1996-12,1655.220,
1997-01,1249.434,
1997-02,1258.170,
1997-03,1137.497,
1997-04,1112.944,
1997-05,1284.282,
1997-06,1404.783,
1997-07,1382.176,
1997-08,1345.091,
1997-09,1172.364,
1997-10,1519.824,
1997-11,1456.286,
1997-12,1738.993,
1998-01,1517.151,
1998-02,1140.193,
1998-03,1383.809,
1998-04,1241.901,
1998-05,1480.639,
1998-06,1505.969,
1998-07,1667.344,
1998-08,1516.726,
1998-09,1543.394,
1998-10,1320.370,
1998-11,1117.666,
1998-12,2040.045,
1999-01,1441.843,
1999-02,1305.126,
1999-03,1637.369,
1999-04,1422.244,
1999-05,1397.921,
1999-06,1433.342,
1999-07,1528.401,
1999-08,1405.250,
1999-09,1387.019,
1999-10,1774.048,
1999-11,1501.809,
1999-12,1930.274,
2000-01,1763.169,
2000-02,1843.533,
2000-03,1608.748,
2000-04,1461.061,
2000-05,1723.334,
2000-06,1666.845,
2000-07,1699.419,
2000-08,1371.813,
2000-09,1746.372,
2000-10,1748.653,
2000-11,1842.221,
2000-12,3129.686,
2001-01,1791.016,
2001-02,1709.936,
2001-03,1666.217,
2001-04,1694.816,
2001-05,1799.699,
2001-06,1771.985,
2001-07,1878.937,
2001-08,1566.380,
2001-09,1778.056,
2001-10,2577.019,
2001-11,1887.977,
2001-12,2768.740,
2002-01,2082.963,
2002-02,1565.855,
2002-03,1665.146,
2002-04,2269.962,
2002-05,1699.957,
2002-06,1821.763,
2002-07,2211.182,
2002-08,1624.925,
2002-09,1606.863,
2002-10,2065.744,
2002-11,1985.843,
2002-12,2841.362,
2003-01,2252.886,
2003-02,1627.742,
2003-03,1962.782,
2003-04,2541.549,
2003-05,2007.119,
2003-06,1836.347,
2003-07,2520.076,
2003-08,1932.216,
2003-09,1864.947,
2003-10,2371.390,
2003-11,2418.685,
2003-12,4131.156,
2004-01,2112.537,
2004-02,2137.590,
2004-03,2352.275,
2004-04,2312.627,
2004-05,2661.608,
2004-06,2201.122,
2004-07,2500.887,
2004-08,2134.564,
2004-09,2555.230,
2004-10,2548.268,
2004-11,2558.289,
2004-12,4410.630,
2005-01,2622.303,
2005-02,2120.317,
2005-03,2409.925,
2005-04,2958.424,
2005-05,2266.176,
2005-06,2669.087,
2005-07,3227.598,
2005-08,2195.067,
2005-09,2694.693,
2005-10,2857.418,
2005-11,2745.096,
2005-12,4606.221,
2006-01,3158.855,
2006-02,2599.713,
2006-03,2876.581,
2006-04,2918.318,
2006-05,2589.151,
2006-06,3083.299,
2006-07,3191.969,
2006-08,2569.565,
2006-09,2909.977,
2006-10,3146.677,
2006-11,3001.243,
2006-12,4797.073,
2007-01,3343.757,
2007-02,2921.319,
2007-03,3070.000,
2007-04,3293.712,
2007-05,3145.006,
2007-06,3279.168,
2007-07,3674.796,
2007-08,3249.197,
2007-09,3017.844,
2007-10,3468.135,
2007-11,3039.716,
2007-12,4894.850,
2008-01,4052.907,
2008-02,3124.173,
2008-03,3255.535,
2008-04,3722.875,
2008-05,3441.347,
2008-06,3251.666,
2008-07,4057.503,
2008-08,3231.004,
2008-09,3426.294,
2008-10,3970.174,
2008-11,3571.730,
2008-12,5340.972,
2009-01,3769.891,
2009-02,3068.492,
2009-03,3254.984,
2009-04,3983.845,
2009-05,3516.614,
2009-06,3464.187,
2009-07,3588.755,
2009-08,3315.683,
2009-09,3799.646,
2009-10,3570.556,
2009-11,3537.505,
2009-12,5218.752,
2010-01,3732.886,
2010-02,3006.559,
2010-03,3856.443,
2010-04,4064.784,
2010-05,3381.419,
2010-06,3945.176,
2010-07,3654.064,
2010-08,3291.284,
2010-09,4154.665,
2010-10,3888.626,
2010-11,4342.976,
2010-12,5636.113,
2011-01,4059.807,
2011-02,3398.369,
2011-03,4518.422,
2011-04,3573.466,
2011-05,3903.637,
2011-06,3935.814,
