"",BBDE1.M.DE.Y.AEB5.A2R260050.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2R260050.F.V.I10.A_FLAGS
"","Orders received from abroad / At current prices, flows / Germany / 26+27 Manufacture of computer, electronic, optical products and of electrical equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:49,
1991-01,56.4,
1991-02,54.4,
1991-03,54.0,
1991-04,57.6,
1991-05,59.1,
1991-06,51.5,
1991-07,55.6,
1991-08,51.1,
1991-09,53.3,
1991-10,55.9,
1991-11,52.9,
1991-12,57.9,
1992-01,57.2,
1992-02,52.8,
1992-03,61.2,
1992-04,54.9,
1992-05,50.7,
1992-06,51.1,
1992-07,52.0,
1992-08,54.3,
1992-09,49.6,
1992-10,50.9,
1992-11,56.0,
1992-12,50.3,
1993-01,47.7,
1993-02,50.2,
1993-03,48.5,
1993-04,48.2,
1993-05,48.3,
1993-06,50.1,
1993-07,50.0,
1993-08,50.2,
1993-09,48.6,
1993-10,47.1,
1993-11,46.4,
1993-12,53.6,
1994-01,46.5,
1994-02,48.4,
1994-03,50.7,
1994-04,49.2,
1994-05,50.6,
1994-06,50.0,
1994-07,49.8,
1994-08,49.0,
1994-09,55.6,
1994-10,53.5,
1994-11,55.6,
1994-12,61.6,
1995-01,55.1,
1995-02,54.9,
1995-03,54.6,
1995-04,53.3,
1995-05,52.0,
1995-06,49.7,
1995-07,55.5,
1995-08,48.4,
1995-09,58.4,
1995-10,48.5,
1995-11,47.5,
1995-12,54.1,
1996-01,54.8,
1996-02,53.7,
1996-03,56.8,
1996-04,51.5,
1996-05,55.2,
1996-06,53.9,
1996-07,54.5,
1996-08,56.5,
1996-09,57.7,
1996-10,56.5,
1996-11,59.2,
1996-12,59.5,
1997-01,60.4,
1997-02,58.1,
1997-03,63.8,
1997-04,64.2,
1997-05,61.0,
1997-06,67.7,
1997-07,63.9,
1997-08,67.3,
1997-09,68.7,
1997-10,66.3,
1997-11,69.0,
1997-12,66.3,
1998-01,65.5,
1998-02,64.6,
1998-03,65.7,
1998-04,67.3,
1998-05,64.7,
1998-06,65.4,
1998-07,68.6,
1998-08,66.4,
1998-09,74.1,
1998-10,64.1,
1998-11,67.1,
1998-12,66.2,
1999-01,66.5,
1999-02,70.1,
1999-03,69.6,
1999-04,64.8,
1999-05,72.5,
1999-06,71.0,
1999-07,80.9,
1999-08,81.4,
1999-09,80.0,
1999-10,81.1,
1999-11,79.6,
1999-12,87.5,
2000-01,82.0,
2000-02,88.8,
2000-03,95.7,
2000-04,93.0,
2000-05,98.2,
2000-06,106.0,
2000-07,95.9,
2000-08,112.7,
2000-09,108.4,
2000-10,103.1,
2000-11,95.7,
2000-12,97.3,
2001-01,87.4,
2001-02,90.0,
2001-03,88.0,
2001-04,77.2,
2001-05,96.9,
2001-06,92.2,
2001-07,84.7,
2001-08,82.9,
2001-09,75.2,
2001-10,78.6,
2001-11,82.4,
2001-12,90.7,
2002-01,80.5,
2002-02,87.3,
2002-03,87.6,
2002-04,86.2,
2002-05,89.8,
2002-06,86.3,
2002-07,79.4,
2002-08,83.7,
2002-09,87.5,
2002-10,85.5,
2002-11,91.0,
2002-12,82.8,
2003-01,89.7,
2003-02,82.5,
2003-03,85.3,
2003-04,83.2,
2003-05,80.1,
2003-06,85.0,
2003-07,88.2,
2003-08,89.1,
2003-09,96.5,
2003-10,89.9,
2003-11,93.1,
2003-12,92.7,
2004-01,90.6,
2004-02,98.4,
2004-03,92.5,
2004-04,94.2,
2004-05,101.0,
2004-06,97.8,
2004-07,101.1,
2004-08,96.1,
2004-09,94.6,
2004-10,94.6,
2004-11,94.2,
2004-12,95.2,
2005-01,96.3,
2005-02,92.5,
2005-03,96.6,
2005-04,96.6,
2005-05,97.0,
2005-06,101.9,
2005-07,101.6,
2005-08,103.4,
2005-09,103.1,
2005-10,102.2,
2005-11,106.0,
2005-12,105.1,
2006-01,105.4,
2006-02,110.9,
2006-03,112.2,
2006-04,112.7,
2006-05,112.1,
2006-06,110.5,
2006-07,111.3,
2006-08,112.8,
2006-09,114.7,
2006-10,118.8,
2006-11,113.7,
2006-12,114.5,
2007-01,114.5,
2007-02,114.3,
2007-03,126.5,
2007-04,112.4,
2007-05,119.9,
2007-06,120.0,
2007-07,114.8,
2007-08,116.0,
2007-09,120.1,
2007-10,124.9,
2007-11,117.5,
2007-12,119.4,
2008-01,117.8,
2008-02,114.1,
2008-03,112.0,
2008-04,112.8,
2008-05,112.6,
2008-06,103.5,
2008-07,104.1,
2008-08,106.8,
2008-09,97.9,
2008-10,103.7,
2008-11,103.1,
2008-12,91.3,
2009-01,75.5,
2009-02,75.4,
2009-03,78.3,
2009-04,72.3,
2009-05,71.9,
2009-06,76.1,
2009-07,76.7,
2009-08,78.4,
2009-09,84.7,
2009-10,82.1,
2009-11,87.4,
2009-12,87.8,
2010-01,90.3,
2010-02,89.3,
2010-03,89.5,
2010-04,95.3,
2010-05,99.0,
2010-06,98.8,
2010-07,101.0,
2010-08,101.0,
2010-09,97.7,
2010-10,103.0,
2010-11,123.1,
2010-12,109.1,
2011-01,107.3,
2011-02,105.3,
2011-03,107.2,
2011-04,104.5,
2011-05,100.8,
2011-06,102.0,
2011-07,107.4,
2011-08,104.6,
2011-09,104.3,
2011-10,98.9,
2011-11,98.7,
2011-12,109.7,
2012-01,99.6,
2012-02,105.6,
2012-03,98.1,
2012-04,98.0,
2012-05,104.7,
2012-06,100.3,
2012-07,99.7,
2012-08,102.6,
2012-09,101.1,
2012-10,100.7,
2012-11,98.1,
2012-12,97.2,
2013-01,101.1,
2013-02,100.2,
2013-03,109.5,
2013-04,102.0,
2013-05,101.4,
2013-06,104.7,
2013-07,101.6,
2013-08,101.2,
2013-09,102.4,
2013-10,116.1,
2013-11,110.7,
2013-12,103.0,
2014-01,104.7,
2014-02,106.1,
2014-03,105.2,
2014-04,109.3,
2014-05,105.1,
2014-06,104.1,
2014-07,106.6,
2014-08,105.1,
2014-09,105.2,
2014-10,111.7,
2014-11,114.6,
2014-12,109.6,Provisional value
