"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.DE.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.DE.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:08,
2009-09,157032,
2009-10,154669,
2009-11,155865,
2009-12,156037,
2010-01,157337,
2010-02,158676,
2010-03,159830,
2010-04,163372,
2010-05,166311,
2010-06,166370,
2010-07,165078,
2010-08,168844,
2010-09,166505,
2010-10,162668,
2010-11,162070,
2010-12,164211,
2011-01,159776,
2011-02,159382,
2011-03,157342,
2011-04,155592,
2011-05,157387,
2011-06,157043,
2011-07,161347,
2011-08,164358,
2011-09,164548,
2011-10,164315,
2011-11,164403,
2011-12,166025,
2012-01,161077,
2012-02,160188,
2012-03,157716,
2012-04,157874,
2012-05,159295,
2012-06,156580,
2012-07,157491,
2012-08,157152,
2012-09,155067,
2012-10,152977,
2012-11,150176,
2012-12,149004,
2013-01,144769,
2013-02,147711,
2013-03,147712,
2013-04,146909,
2013-05,145644,
2013-06,145298,
2013-07,145629,
2013-08,145751,
2013-09,144300,
2013-10,142446,
2013-11,139798,
2013-12,138644,
2014-01,139714,
2014-02,139333,
2014-03,139028,
2014-04,136858,
2014-05,137282,
2014-06,138527,
2014-07,140098,
2014-08,141920,
2014-09,141670,
2014-10,143577,
2014-11,143727,
