"",BBK01.OEAA07G,BBK01.OEAA07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:22,
2002-01,332.518,
2002-04,333.407,
2002-07,335.315,
2002-10,337.069,
2003-01,335.301,
2003-04,336.870,
2003-07,338.235,
2003-10,339.382,
2004-01,337.637,
2004-04,338.875,
2004-07,340.272,
2004-10,338.375,
2005-01,302.117,
2005-04,302.949,
2005-07,302.352,
2005-10,304.045,
2006-01,300.976,
2006-04,301.561,
2006-07,303.498,
2006-10,304.962,
2007-01,303.626,
2007-04,304.228,
2007-07,305.398,
2007-10,306.831,
2008-01,296.489,
2008-04,313.414,
2008-07,322.299,
2008-10,325.320,
2009-01,324.426,
2009-04,332.351,
2009-07,333.462,
2009-10,330.661,
2010-01,330.354,
2010-04,333.543,
2010-07,334.936,
2010-10,335.640,
2011-01,334.488,
2011-04,334.595,
2011-07,334.780,
2011-10,336.778,
2012-01,337.525,
2012-04,340.979,
2012-07,343.657,
2012-10,345.099,
2013-01,344.641,
2013-04,345.868,
2013-07,342.032,
2013-10,346.683,
2014-01,346.927,
2014-04,348.416,
2014-07,351.730,
