"",BBK01.PQP360,BBK01.PQP360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:21,
1985-10,0.082,
1986-01,0.079,
1986-04,0.084,
1986-07,0.079,
1986-10,0.081,
1987-01,0.080,
1987-04,0.089,
1987-07,0.094,
1987-10,0.099,
1988-01,0.101,
1988-04,0.105,
1988-07,0.113,
1988-10,0.130,
1989-01,0.132,
1989-04,0.139,
1989-07,0.138,
1989-10,0.141,
1990-01,0.163,
1990-04,0.165,
1990-07,0.164,
1990-10,0.171,
1991-01,0.158,
1991-04,0.188,
1991-07,0.211,
1991-10,0.228,
1992-01,0.227,
1992-04,0.221,
1992-07,0.238,
1992-10,0.403,
1993-01,0.401,
1993-04,0.379,
1993-07,0.395,
1993-10,0.379,
1994-01,0.630,
1994-04,0.654,
1994-07,0.707,
1994-10,0.825,
1995-01,0.798,
1995-04,0.814,
1995-07,0.826,
1995-10,0.832,
1996-01,0.818,
1996-04,0.827,
1996-07,0.834,
1996-10,0.840,
1997-01,0.848,
1997-04,1.032,
1997-07,0.871,
1997-10,0.897,
1998-01,0.895,
1998-04,0.952,
1998-07,1.002,
1998-10,1.045,
1999-01,0.894,
1999-04,0.891,
1999-07,0.884,
1999-10,0.860,
2000-01,1.123,
2000-04,1.187,
2000-07,1.183,
2000-10,1.252,
2001-01,1.175,
2001-04,1.977,
2001-07,1.964,
2001-10,1.954,
2002-01,2.003,
2002-04,2.441,
2002-07,2.478,
2002-10,2.600,
2003-01,2.585,
2003-04,2.351,
2003-07,2.375,
2003-10,2.486,
2004-01,2.375,
2004-04,2.462,
2004-07,2.618,
2004-10,2.681,
2005-01,2.696,
2005-04,2.760,
2005-07,2.847,
2005-10,3.895,
2006-01,3.947,
2006-04,3.405,
2006-07,3.440,
2006-10,3.533,
2007-01,3.583,
2007-04,3.515,
2007-07,3.859,
2007-10,3.855,
2008-01,4.037,
2008-04,4.102,
2008-07,4.104,
2008-10,4.222,
2009-01,4.273,
2009-04,4.238,
2009-07,4.163,
2009-10,4.178,
2010-01,4.050,
2010-04,4.188,
2010-07,4.067,
2010-10,4.059,
2011-01,4.072,
2011-04,4.179,
2011-07,4.274,
2011-10,4.367,
2012-01,4.374,
2012-04,4.463,
2012-07,4.411,
2012-10,4.452,
2013-01,4.452,
2013-04,4.498,
2013-07,4.581,
2013-10,4.641,
2014-01,4.614,
2014-04,4.394,
2014-07,4.504,
2014-10,4.437,
