"",BBK01.OEAC52G,BBK01.OEAC52G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:10,
2002-01,2.595,
2002-04,2.756,
2002-07,2.718,
2002-10,2.731,
2003-01,2.645,
2003-04,2.644,
2003-07,2.624,
2003-10,2.686,
2004-01,2.675,
2004-04,2.747,
2004-07,2.689,
2004-10,2.725,
2005-01,2.663,
2005-04,2.648,
2005-07,2.633,
2005-10,2.578,
2006-01,2.544,
2006-04,2.560,
2006-07,2.545,
2006-10,2.576,
2007-01,2.584,
2007-04,2.656,
2007-07,2.699,
2007-10,2.790,
2008-01,2.845,
2008-04,2.969,
2008-07,3.100,
2008-10,3.059,
2009-01,2.961,
2009-04,3.201,
2009-07,3.221,
2009-10,3.191,
2010-01,3.209,
2010-04,3.104,
2010-07,3.044,
2010-10,3.005,
2011-01,2.914,
2011-04,2.906,
2011-07,2.878,
2011-10,2.919,
2012-01,2.917,
2012-04,2.968,
2012-07,2.966,
2012-10,3.035,
2013-01,3.024,
2013-04,3.002,
2013-07,3.005,
2013-10,2.932,
2014-01,2.943,
2014-04,3.117,
2014-07,3.088,
