"",BBK01.OEAC58T,BBK01.OEAC58T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:59,
2002-01,1.666,
2002-04,1.652,
2002-07,1.662,
2002-10,1.629,
2003-01,1.673,
2003-04,1.686,
2003-07,1.118,
2003-10,1.108,
2004-01,1.107,
2004-04,1.146,
2004-07,1.119,
2004-10,1.073,
2005-01,1.076,
2005-04,1.010,
2005-07,1.024,
2005-10,1.011,
2006-01,1.010,
2006-04,1.008,
2006-07,1.008,
2006-10,1.036,
2007-01,1.035,
2007-04,1.079,
2007-07,1.142,
2007-10,1.165,
2008-01,1.063,
2008-04,1.096,
2008-07,1.188,
2008-10,1.182,
2009-01,1.178,
2009-04,0.853,
2009-07,0.856,
2009-10,0.841,
2010-01,0.787,
2010-04,0.786,
2010-07,0.813,
2010-10,0.820,
2011-01,0.806,
2011-04,0.806,
2011-07,0.823,
2011-10,0.811,
2012-01,0.831,
2012-04,0.851,
2012-07,0.867,
2012-10,0.882,
2013-01,0.860,
2013-04,0.830,
2013-07,0.841,
2013-10,0.832,
2014-01,0.810,
2014-04,0.807,
2014-07,0.821,
