"",BBK01.OEYB01M,BBK01.OEYB01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:15,
2002-01,104.343,
2002-04,98.852,
2002-07,100.030,
2002-10,100.265,
2003-01,101.135,
2003-04,113.252,
2003-07,114.496,
2003-10,114.082,
2004-01,113.971,
2004-04,114.432,
2004-07,112.202,
2004-10,110.163,
2005-01,110.036,
2005-04,111.613,
2005-07,110.772,
2005-10,110.568,
2006-01,111.260,
2006-04,111.671,
2006-07,103.449,
2006-10,106.438,
2007-01,107.357,
2007-04,108.984,
2007-07,111.336,
2007-10,112.116,
2008-01,112.416,
2008-04,113.805,
2008-07,116.803,
2008-10,116.846,
2009-01,118.791,
2009-04,118.504,
2009-07,119.379,
2009-10,119.760,
2010-01,121.848,
2010-04,118.199,
2010-07,116.048,
2010-10,117.603,
2011-01,114.960,
2011-04,115.813,
2011-07,117.413,
2011-10,119.210,
2012-01,116.903,
2012-04,117.961,
2012-07,116.993,
2012-10,116.635,
2013-01,114.701,
2013-04,113.239,
2013-07,111.062,
2013-10,110.350,
2014-01,108.508,
2014-04,107.494,
2014-07,107.981,
