"",BBDE1.M.DE.Y.AED5.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AED5.A2P310000.F.C.I10.A_FLAGS
"","Orders received from abroad, Non-euro-area countries / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:26,
2003-01,70.3,
2003-02,67.5,
2003-03,68.2,
2003-04,67.9,
2003-05,65.1,
2003-06,67.3,
2003-07,70.5,
2003-08,71.1,
2003-09,72.6,
2003-10,73.7,
2003-11,75.9,
2003-12,77.6,
2004-01,74.1,
2004-02,77.9,
2004-03,77.3,
2004-04,79.7,
2004-05,79.3,
2004-06,74.4,
2004-07,75.0,
2004-08,74.8,
2004-09,76.1,
2004-10,75.3,
2004-11,74.1,
2004-12,77.8,
2005-01,78.5,
2005-02,78.3,
2005-03,78.8,
2005-04,80.4,
2005-05,80.9,
2005-06,84.0,
2005-07,90.9,
2005-08,86.5,
2005-09,85.5,
2005-10,88.5,
2005-11,89.7,
2005-12,91.1,
2006-01,90.0,
2006-02,94.9,
2006-03,93.5,
2006-04,96.8,
2006-05,95.8,
2006-06,99.7,
2006-07,99.5,
2006-08,100.0,
2006-09,100.6,
2006-10,103.7,
2006-11,104.3,
2006-12,102.9,
2007-01,102.3,
2007-02,103.5,
2007-03,112.1,
2007-04,102.0,
2007-05,107.6,
2007-06,113.3,
2007-07,106.5,
2007-08,108.8,
2007-09,117.8,
2007-10,112.9,
2007-11,111.1,
2007-12,111.2,
2008-01,112.4,
2008-02,108.0,
2008-03,110.1,
2008-04,105.8,
2008-05,107.6,
2008-06,106.2,
2008-07,105.2,
2008-08,106.9,
2008-09,101.2,
2008-10,103.3,
2008-11,98.2,
2008-12,79.3,
2009-01,74.7,
2009-02,75.0,
2009-03,74.9,
2009-04,76.6,
2009-05,80.5,
2009-06,81.8,
2009-07,85.2,
2009-08,87.5,
2009-09,89.8,
2009-10,88.9,
2009-11,89.5,
2009-12,87.2,
2010-01,92.4,
2010-02,95.9,
2010-03,97.0,
2010-04,99.3,
2010-05,98.7,
2010-06,99.4,
2010-07,101.7,
2010-08,100.8,
2010-09,97.9,
2010-10,100.3,
2010-11,105.3,
2010-12,108.3,
2011-01,108.5,
2011-02,105.4,
2011-03,109.4,
2011-04,104.5,
2011-05,102.0,
2011-06,104.7,
2011-07,105.2,
2011-08,101.6,
2011-09,100.3,
2011-10,99.1,
2011-11,96.7,
2011-12,115.9,
2012-01,102.6,
2012-02,110.9,
2012-03,99.6,
2012-04,101.5,
2012-05,104.2,
2012-06,100.9,
2012-07,100.5,
2012-08,104.1,
2012-09,98.6,
2012-10,104.6,
2012-11,99.9,
2012-12,99.3,
2013-01,99.0,
2013-02,99.1,
2013-03,99.2,
2013-04,102.7,
2013-05,101.2,
2013-06,100.5,
2013-07,102.9,
2013-08,99.9,
2013-09,103.5,
2013-10,115.5,
2013-11,108.0,
2013-12,103.0,
2014-01,105.2,
2014-02,108.7,
2014-03,110.2,
2014-04,105.4,
2014-05,102.0,
2014-06,108.0,
2014-07,107.9,
2014-08,103.1,
2014-09,110.2,
2014-10,109.0,
2014-11,113.5,
2014-12,108.7,Provisional value
