"",BBK01.OEXI05R,BBK01.OEXI05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:58,
2002-01,0.020,
2002-04,0.020,
2002-07,0.018,
2002-10,0.017,
2003-01,0.017,
2003-04,0.018,
2003-07,0.017,
2003-10,0.014,
2004-01,0.016,
2004-04,0.016,
2004-07,0.019,
2004-10,0.009,
2005-01,0.009,
2005-04,0.010,
2005-07,0.011,
2005-10,0.012,
2006-01,0.013,
2006-04,0.011,
2006-07,0.011,
2006-10,0.012,
2007-01,0.013,
2007-04,0.011,
2007-07,0.010,
2007-10,0.011,
2008-01,0.022,
2008-04,0.011,
2008-07,0.011,
2008-10,0.011,
2009-01,0.016,
2009-04,0.023,
2009-07,0.027,
2009-10,0.030,
2010-01,0.034,
2010-04,0.034,
2010-07,0.034,
2010-10,0.035,
2011-01,0.038,
2011-04,0.040,
2011-07,0.053,
2011-10,0.055,
2012-01,0.067,
2012-04,0.086,
2012-07,0.088,
2012-10,0.093,
2013-01,0.275,
2013-04,0.104,
2013-07,0.103,
2013-10,0.179,
2014-01,0.110,
2014-04,0.181,
2014-07,0.186,
