"",BBFB1.Q.N.DE.GB.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:51,
1999-01,224.404,
1999-04,506.542,
1999-07,540.954,
1999-10,393.101,
2000-01,211.870,
2000-04,478.249,
2000-07,510.738,
2000-10,371.143,
2001-01,179.436,
2001-04,405.036,
2001-07,432.552,
2001-10,314.327,
2002-01,383.135,
2002-04,417.956,
2002-07,603.432,
2002-10,307.778,
2003-01,329.824,
2003-04,361.757,
2003-07,670.125,
2003-10,355.307,
2004-01,354.693,
2004-04,452.278,
2004-07,640.483,
2004-10,290.394,
2005-01,299.359,
2005-04,453.758,
2005-07,503.463,
2005-10,351.397,
2006-01,300.470,
2006-04,425.824,
2006-07,519.004,
2006-10,414.012,
2007-01,322.354,
2007-04,501.026,
2007-07,619.419,
2007-10,283.420,
2008-01,265.152,
2008-04,401.339,
2008-07,461.988,
2008-10,245.435,
2009-01,241.904,
2009-04,584.765,
2009-07,621.934,
2009-10,417.729,
2010-01,294.130,
2010-04,521.875,
2010-07,715.146,
2010-10,432.723,
2011-01,284.714,
2011-04,765.699,
2011-07,696.849,
2011-10,441.408,
2012-01,346.305,
2012-04,444.280,
2012-07,690.949,
2012-10,356.987,
2013-01,225.253,
2013-04,642.153,
2013-07,927.042,
2013-10,514.543,
2014-01,341.385,Provisional value
2014-04,645.833,Provisional value
2014-07,830.194,Provisional value
2014-10,434.746,Provisional value
