"",BBK01.OEAD07P,BBK01.OEAD07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:58,
2002-01,0.125,
2002-04,0.126,
2002-07,0.119,
2002-10,0.115,
2003-01,0.110,
2003-04,0.104,
2003-07,0.116,
2003-10,0.125,
2004-01,0.110,
2004-04,0.110,
2004-07,0.106,
2004-10,0.099,
2005-01,0.103,
2005-04,0.093,
2005-07,0.102,
2005-10,0.090,
2006-01,0.091,
2006-04,0.090,
2006-07,0.086,
2006-10,0.088,
2007-01,0.084,
2007-04,0.085,
2007-07,0.080,
2007-10,0.084,
2008-01,0.085,
2008-04,0.100,
2008-07,0.078,
2008-10,0.081,
2009-01,0.082,
2009-04,0.073,
2009-07,0.073,
2009-10,0.070,
2010-01,0.056,
2010-04,0.051,
2010-07,0.054,
2010-10,0.051,
2011-01,0.054,
2011-04,0.051,
2011-07,0.049,
2011-10,0.054,
2012-01,0.052,
2012-04,0.054,
2012-07,0.054,
2012-10,0.052,
2013-01,0.052,
2013-04,0.050,
2013-07,0.053,
2013-10,0.048,
2014-01,0.052,
2014-04,0.054,
2014-07,0.058,
