"",BBK01.OEAM10S,BBK01.OEAM10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:12,
2002-01,1.828,
2002-04,1.842,
2002-07,1.880,
2002-10,1.915,
2003-01,1.924,
2003-04,1.939,
2003-07,1.953,
2003-10,1.969,
2004-01,1.971,
2004-04,1.978,
2004-07,1.997,
2004-10,4.023,
2005-01,4.000,
2005-04,3.987,
2005-07,3.991,
2005-10,3.973,
2006-01,3.953,
2006-04,3.920,
2006-07,3.911,
2006-10,3.944,
2007-01,3.918,
2007-04,3.838,
2007-07,3.810,
2007-10,3.797,
2008-01,3.751,
2008-04,3.712,
2008-07,3.685,
2008-10,3.637,
2009-01,3.607,
2009-04,3.584,
2009-07,3.553,
2009-10,3.535,
2010-01,3.510,
2010-04,3.477,
2010-07,3.424,
2010-10,3.369,
2011-01,3.339,
2011-04,3.317,
2011-07,3.294,
2011-10,3.273,
2012-01,3.252,
2012-04,3.227,
2012-07,3.197,
2012-10,3.183,
2013-01,3.161,
2013-04,3.117,
2013-07,3.089,
2013-10,3.063,
2014-01,3.039,
2014-04,3.001,
2014-07,2.941,
