"",BBDE1.M.DE.Y.AEA1.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2P310000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:04,
1991-01,70.3,
1991-02,68.9,
1991-03,68.0,
1991-04,68.6,
1991-05,66.7,
1991-06,67.0,
1991-07,66.3,
1991-08,66.2,
1991-09,66.2,
1991-10,67.9,
1991-11,68.1,
1991-12,69.0,
1992-01,69.5,
1992-02,68.2,
1992-03,69.4,
1992-04,66.7,
1992-05,66.6,
1992-06,65.5,
1992-07,63.8,
1992-08,64.0,
1992-09,62.9,
1992-10,61.3,
1992-11,61.9,
1992-12,60.4,
1993-01,62.4,
1993-02,61.9,
1993-03,60.0,
1993-04,60.9,
1993-05,59.9,
1993-06,60.8,
1993-07,61.5,
1993-08,60.5,
1993-09,61.5,
1993-10,61.4,
1993-11,61.8,
1993-12,64.1,
1994-01,64.5,
1994-02,65.8,
1994-03,66.5,
1994-04,66.3,
1994-05,66.9,
1994-06,67.5,
1994-07,66.7,
1994-08,67.6,
1994-09,71.7,
1994-10,70.4,
1994-11,70.9,
1994-12,76.1,
1995-01,69.2,
1995-02,70.6,
1995-03,69.5,
1995-04,69.1,
1995-05,67.4,
1995-06,67.4,
1995-07,66.4,
1995-08,64.8,
1995-09,66.6,
1995-10,63.1,
1995-11,62.3,
1995-12,65.1,
1996-01,65.1,
1996-02,63.5,
1996-03,65.0,
1996-04,64.4,
1996-05,65.2,
1996-06,66.1,
1996-07,66.6,
1996-08,67.4,
1996-09,68.2,
1996-10,67.9,
1996-11,68.1,
1996-12,68.0,
1997-01,68.7,
1997-02,70.6,
1997-03,71.3,
1997-04,71.3,
1997-05,71.1,
1997-06,73.2,
1997-07,73.0,
1997-08,73.4,
1997-09,74.1,
1997-10,74.7,
1997-11,74.7,
1997-12,74.8,
1998-01,74.5,
1998-02,73.4,
1998-03,73.6,
1998-04,73.7,
1998-05,73.2,
1998-06,73.1,
1998-07,71.6,
1998-08,71.9,
1998-09,71.1,
1998-10,69.4,
1998-11,69.4,
1998-12,69.6,
1999-01,70.8,
1999-02,69.6,
1999-03,71.8,
1999-04,71.0,
1999-05,72.7,
1999-06,73.1,
1999-07,75.8,
1999-08,77.4,
1999-09,76.9,
1999-10,77.8,
1999-11,79.5,
1999-12,81.4,
2000-01,76.6,
2000-02,80.4,
2000-03,82.8,
2000-04,82.0,
2000-05,83.7,
2000-06,83.9,
2000-07,84.6,
2000-08,87.4,
2000-09,85.5,
2000-10,84.0,
2000-11,82.8,
2000-12,83.9,
2001-01,81.6,
2001-02,80.9,
2001-03,80.3,
2001-04,77.6,
2001-05,81.2,
2001-06,80.2,
2001-07,78.1,
2001-08,79.0,
2001-09,76.2,
2001-10,75.7,
2001-11,74.1,
2001-12,78.7,
2002-01,77.1,
2002-02,79.1,
2002-03,78.6,
2002-04,80.5,
2002-05,80.0,
2002-06,80.7,
2002-07,79.4,
2002-08,79.1,
2002-09,81.0,
2002-10,79.6,
2002-11,81.1,
2002-12,79.4,
2003-01,80.3,
2003-02,80.2,
2003-03,79.9,
2003-04,79.0,
2003-05,77.0,
2003-06,79.0,
2003-07,80.1,
2003-08,79.5,
2003-09,81.0,
2003-10,82.2,
2003-11,83.4,
2003-12,85.3,
2004-01,84.3,
2004-02,85.4,
2004-03,85.5,
2004-04,86.3,
2004-05,86.5,
2004-06,85.3,
2004-07,86.3,
2004-08,86.4,
2004-09,86.1,
2004-10,84.9,
2004-11,84.6,
2004-12,85.5,
2005-01,86.8,
2005-02,85.1,
2005-03,84.8,
2005-04,85.0,
2005-05,85.9,
2005-06,87.2,
2005-07,91.2,
2005-08,89.5,
2005-09,90.7,
2005-10,92.3,
2005-11,92.8,
2005-12,94.7,
2006-01,93.1,
2006-02,95.0,
2006-03,94.0,
2006-04,97.0,
2006-05,97.2,
2006-06,98.9,
2006-07,98.1,
2006-08,99.6,
2006-09,99.7,
2006-10,101.2,
2006-11,102.1,
2006-12,101.5,
2007-01,101.5,
2007-02,102.0,
2007-03,105.0,
2007-04,101.8,
2007-05,104.7,
2007-06,107.1,
2007-07,103.6,
2007-08,104.9,
2007-09,106.5,
2007-10,107.0,
2007-11,113.2,
2007-12,111.3,
2008-01,107.3,
2008-02,106.6,
2008-03,107.8,
2008-04,106.2,
2008-05,106.8,
2008-06,104.6,
2008-07,103.5,
2008-08,104.4,
2008-09,99.3,
2008-10,94.8,
2008-11,85.5,
2008-12,80.0,
2009-01,74.6,
2009-02,70.9,
2009-03,72.2,
2009-04,75.7,
2009-05,78.1,
2009-06,82.6,
2009-07,84.7,
2009-08,87.9,
2009-09,90.3,
2009-10,90.7,
2009-11,91.6,
2009-12,89.5,
2010-01,92.6,
2010-02,94.6,
2010-03,97.7,
2010-04,101.4,
2010-05,98.7,
2010-06,100.4,
2010-07,101.7,
2010-08,100.5,
2010-09,100.7,
2010-10,101.6,
2010-11,102.5,
2010-12,103.4,
2011-01,108.1,
2011-02,106.1,
2011-03,107.4,
2011-04,105.7,
2011-05,106.6,
2011-06,104.0,
2011-07,106.6,
2011-08,106.0,
2011-09,102.1,
2011-10,101.7,
2011-11,99.4,
2011-12,102.0,
2012-01,102.5,
2012-02,101.8,
2012-03,100.2,
2012-04,100.9,
2012-05,101.3,
2012-06,98.9,
2012-07,99.2,
2012-08,100.1,
2012-09,96.7,
2012-10,99.0,
2012-11,98.1,
