"",BBK01.OEAF35M,BBK01.OEAF35M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:37,
2002-01,14.969,
2002-04,15.191,
2002-07,15.299,
2002-10,15.385,
2003-01,15.705,
2003-04,15.578,
2003-07,15.300,
2003-10,15.302,
2004-01,16.479,
2004-04,16.444,
2004-07,16.486,
2004-10,16.623,
2005-01,15.885,
2005-04,15.908,
2005-07,15.961,
2005-10,15.895,
2006-01,15.560,
2006-04,15.614,
2006-07,15.382,
2006-10,15.089,
2007-01,14.919,
2007-04,14.872,
2007-07,14.999,
2007-10,14.819,
2008-01,14.580,
2008-04,14.515,
2008-07,14.240,
2008-10,14.196,
2009-01,14.329,
2009-04,14.415,
2009-07,14.249,
2009-10,14.052,
2010-01,12.204,
2010-04,11.823,
2010-07,10.976,
2010-10,13.756,
2011-01,13.634,
2011-04,14.128,
2011-07,13.869,
2011-10,13.936,
2012-01,13.974,
2012-04,14.020,
2012-07,13.936,
2012-10,13.782,
2013-01,13.673,
2013-04,13.638,
2013-07,13.523,
2013-10,13.456,
2014-01,13.396,
2014-04,13.595,
2014-07,13.632,
