"",BBFB1.Q.N.DE.BR.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:37,
1991-01,55.705,
1991-04,2.932,
1991-07,0.061,
1991-10,-69.860,
1992-01,-4.698,
1992-04,107.890,
1992-07,-39.576,
1992-10,65.169,
1993-01,84.403,
1993-04,14.790,
1993-07,-7.939,
1993-10,177.955,
1994-01,-75.704,
1994-04,94.468,
1994-07,144.734,
1994-10,-50.056,
1995-01,-333.441,
1995-04,249.938,
1995-07,88.853,
1995-10,127.548,
1996-01,-12.017,
1996-04,1255.427,
1996-07,-731.685,
1996-10,-45.479,
1997-01,-67.340,
1997-04,387.192,
1997-07,-451.259,
1997-10,650.454,
1998-01,1153.485,
1998-04,249.439,
1998-07,-1372.225,
1998-10,-802.488,
1999-01,-243.391,
1999-04,1148.790,
1999-07,480.995,
1999-10,691.333,
2000-01,-492.706,
2000-04,-380.162,
2000-07,710.878,
2000-10,713.852,
2001-01,-658.473,
2001-04,1867.379,
2001-07,-474.696,
2001-10,-407.240,
2002-01,674.295,
2002-04,-718.527,
2002-07,-1234.042,
2002-10,78.725,
2003-01,-718.914,
2003-04,586.188,
2003-07,105.059,
2003-10,-35.564,
2004-01,397.261,
2004-04,-295.088,
2004-07,-22.549,
2004-10,-308.301,
2005-01,603.229,
2005-04,-102.172,
2005-07,240.887,
2005-10,-741.015,
2006-01,259.687,
2006-04,-356.185,
2006-07,-884.478,
2006-10,301.801,
2007-01,-493.067,
2007-04,849.532,
2007-07,-63.454,
2007-10,82.725,
2008-01,26.415,
2008-04,175.352,
2008-07,261.895,
2008-10,-260.352,
2009-01,53.907,
2009-04,292.524,
2009-07,-30.119,
2009-10,-242.146,
2010-01,518.097,
2010-04,-77.143,
2010-07,683.001,
2010-10,-478.173,
2011-01,-57.359,
2011-04,-129.664,
2011-07,379.350,
2011-10,-499.893,
2012-01,-201.507,
2012-04,371.731,
2012-07,-107.490,
2012-10,-124.728,
2013-01,101.003,
2013-04,127.545,
2013-07,-256.743,
2013-10,263.986,
2014-01,-376.996,Provisional value
2014-04,110.449,Provisional value
2014-07,-79.066,Provisional value
2014-10,151.186,Provisional value
