"",BBSF2.M.1.S.00000.SON01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:16,
2009-09,65,
2009-10,113,
2009-11,269,
2009-12,226,
2010-01,221,
2010-02,220,
2010-03,372,
2010-04,441,
2010-05,398,
2010-06,384,
2010-07,573,
2010-08,523,
2010-09,550,
2010-10,497,
2010-11,563,
2010-12,489,
2011-01,606,
2011-02,680,
2011-03,794,
2011-04,694,
2011-05,921,
2011-06,880,
2011-07,724,
2011-08,848,
2011-09,847,
2011-10,1472,
2011-11,1577,
2011-12,1574,
2012-01,1647,
2012-02,1461,
2012-03,1436,
2012-04,1483,
2012-05,1446,
2012-06,1440,
2012-07,1672,
2012-08,1776,
2012-09,1759,
2012-10,1834,
2012-11,1525,
2012-12,1630,
2013-01,1552,
2013-02,1431,
2013-03,1685,
2013-04,1727,
2013-05,1500,
2013-06,1425,
2013-07,1558,
2013-08,1494,
2013-09,1630,
2013-10,1802,
2013-11,1579,
2013-12,1394,
2014-01,1583,
2014-02,1587,
2014-03,1685,
2014-04,1775,
2014-05,1813,
2014-06,1780,
2014-07,1849,
2014-08,1876,
2014-09,2070,
2014-10,1852,
2014-11,1818,
