"",BBK01.OEHI04S,BBK01.OEHI04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:47,
2002-01,1.013,
2002-04,0.977,
2002-07,0.981,
2002-10,0.928,
2003-01,0.824,
2003-04,0.821,
2003-07,0.802,
2003-10,0.818,
2004-01,0.758,
2004-04,0.732,
2004-07,0.770,
2004-10,0.818,
2005-01,0.767,
2005-04,0.865,
2005-07,0.851,
2005-10,0.772,
2006-01,0.848,
2006-04,0.907,
2006-07,0.926,
2006-10,0.908,
2007-01,1.037,
2007-04,1.149,
2007-07,1.216,
2007-10,1.268,
2008-01,1.374,
2008-04,1.455,
2008-07,1.510,
2008-10,1.455,
2009-01,1.222,
2009-04,1.053,
2009-07,0.869,
2009-10,0.786,
2010-01,0.769,
2010-04,0.755,
2010-07,0.784,
2010-10,0.885,
2011-01,0.922,
2011-04,1.007,
2011-07,1.034,
2011-10,1.050,
2012-01,1.052,
2012-04,0.982,
2012-07,0.863,
2012-10,0.885,
2013-01,0.797,
2013-04,0.825,
2013-07,0.828,
2013-10,0.798,
2014-01,0.876,
2014-04,0.885,
2014-07,0.828,
