"",BBFI1.Q.N.DE.W1.S13.S1.LE.A.FA.O.F2.L._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.LE.A.FA.O.F2.L._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - General government - Long-term original maturity (over 1 year) - Assets - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:06:32,
1999-10,-,Nothing exists
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,17,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,19,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,48,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,68,
2004-01,64,
2004-04,129,
2004-07,59,
2004-10,64,
2005-01,66,
2005-04,77,
2005-07,101,
2005-10,119,
2006-01,113,
2006-04,96,
2006-07,101,
2006-10,91,
2007-01,70,
2007-04,111,
2007-07,116,
2007-10,112,
2008-01,64,
2008-04,60,
2008-07,203,
2008-10,193,
2009-01,192,
2009-04,242,
2009-07,1285,
2009-10,1273,
2010-01,1459,
2010-04,2047,
2010-07,1987,
2010-10,8466,
2011-01,7778,
2011-04,7654,
2011-07,7877,
2011-10,8089,
2012-01,9082,
2012-04,6092,
2012-07,6365,
2012-10,7043,
2013-01,6500,
2013-04,7027,
2013-07,6956,
2013-10,6658,
2014-01,3286,
2014-04,2952,
2014-07,2955,
