"",BBK01.OEAC06T,BBK01.OEAC06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:09,
2002-01,0.331,
2002-04,0.354,
2002-07,0.365,
2002-10,0.350,
2003-01,0.337,
2003-04,0.352,
2003-07,0.363,
2003-10,0.342,
2004-01,0.353,
2004-04,0.367,
2004-07,0.369,
2004-10,0.346,
2005-01,0.353,
2005-04,0.363,
2005-07,0.372,
2005-10,0.362,
2006-01,0.380,
2006-04,0.399,
2006-07,0.410,
2006-10,0.396,
2007-01,0.407,
2007-04,0.439,
2007-07,0.447,
2007-10,0.434,
2008-01,0.447,
2008-04,0.477,
2008-07,0.486,
2008-10,0.476,
2009-01,0.484,
2009-04,0.526,
2009-07,0.557,
2009-10,0.536,
2010-01,0.585,
2010-04,0.612,
2010-07,0.613,
2010-10,0.605,
2011-01,0.624,
2011-04,0.656,
2011-07,0.689,
2011-10,0.685,
2012-01,0.712,
2012-04,0.747,
2012-07,0.779,
2012-10,0.794,
2013-01,0.815,
2013-04,0.842,
2013-07,0.853,
2013-10,0.857,
2014-01,0.865,
2014-04,0.916,
2014-07,0.956,
