"",BBK01.OEHJ01O,BBK01.OEHJ01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:15,
2002-01,3.373,
2002-04,3.474,
2002-07,3.478,
2002-10,3.847,
2003-01,3.497,
2003-04,3.465,
2003-07,3.594,
2003-10,4.059,
2004-01,3.659,
2004-04,3.624,
2004-07,3.919,
2004-10,4.082,
2005-01,3.808,
2005-04,3.843,
2005-07,4.074,
2005-10,4.245,
2006-01,3.962,
2006-04,4.556,
2006-07,4.259,
2006-10,4.627,
2007-01,4.297,
2007-04,4.987,
2007-07,5.121,
2007-10,4.640,
2008-01,4.862,
2008-04,4.976,
2008-07,5.203,
2008-10,5.008,
2009-01,5.095,
2009-04,5.272,
2009-07,5.676,
2009-10,5.395,
2010-01,5.637,
2010-04,5.679,
2010-07,5.928,
2010-10,5.417,
2011-01,5.824,
2011-04,5.958,
2011-07,6.426,
2011-10,5.886,
2012-01,6.179,
2012-04,6.322,
2012-07,6.639,
2012-10,5.856,
2013-01,5.463,
2013-04,5.687,
2013-07,5.821,
2013-10,6.229,
2014-01,5.825,
2014-04,5.823,
2014-07,6.181,
