"",BBK01.OEAF02H,BBK01.OEAF02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:54,
2002-01,179.385,
2002-04,178.677,
2002-07,179.249,
2002-10,179.514,
2003-01,179.070,
2003-04,179.127,
2003-07,180.019,
2003-10,179.782,
2004-01,177.281,
2004-04,178.108,
2004-07,177.118,
2004-10,176.563,
2005-01,177.089,
2005-04,177.184,
2005-07,177.638,
2005-10,177.504,
2006-01,176.884,
2006-04,176.276,
2006-07,176.472,
2006-10,175.052,
2007-01,172.794,
2007-04,171.611,
2007-07,170.881,
2007-10,165.775,
2008-01,163.141,
2008-04,161.910,
2008-07,161.063,
2008-10,159.195,
2009-01,157.398,
2009-04,145.588,
2009-07,146.524,
2009-10,146.570,
2010-01,144.949,
2010-04,146.538,
2010-07,147.313,
2010-10,148.786,
2011-01,147.908,
2011-04,148.679,
2011-07,152.230,
2011-10,152.722,
2012-01,152.933,
2012-04,152.870,
2012-07,154.494,
2012-10,155.195,
2013-01,155.411,
2013-04,157.183,
2013-07,158.939,
2013-10,159.874,
2014-01,160.012,
2014-04,161.905,
2014-07,164.185,
