"",BBFB1.Q.N.DE.F1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:10,
1991-01,-419.224,
1991-04,-354.861,
1991-07,-503.038,
1991-10,-569.450,
1992-01,-445.213,
1992-04,-482.966,
1992-07,-731.003,
1992-10,-565.274,
1993-01,-485.926,
1993-04,-512.761,
1993-07,-573.749,
1993-10,-557.627,
1994-01,-545.304,
1994-04,-567.207,
1994-07,-733.310,
1994-10,-677.213,
1995-01,-561.892,
1995-04,-579.589,
1995-07,-716.745,
1995-10,-662.708,
1996-01,-572.304,
1996-04,-580.966,
1996-07,-638.211,
1996-10,-614.108,
1997-01,-544.945,
1997-04,-542.577,
1997-07,-593.695,
1997-10,-641.263,
1998-01,-483.785,
1998-04,-479.876,
1998-07,-531.803,
1998-10,-587.737,
1999-01,-528.707,
1999-04,-585.579,
1999-07,-678.544,
1999-10,-704.114,
2000-01,-669.188,
2000-04,-779.594,
2000-07,-759.374,
2000-10,-857.990,
2001-01,-675.440,
2001-04,-726.356,
2001-07,-749.339,
2001-10,-482.740,
2002-01,-572.061,
2002-04,-616.210,
2002-07,-467.870,
2002-10,-513.298,
2003-01,-521.410,
2003-04,-298.014,
2003-07,-489.312,
2003-10,-375.308,
2004-01,-527.783,
2004-04,-436.279,
2004-07,-590.008,
2004-10,-502.686,
2005-01,-718.199,
2005-04,-479.638,
2005-07,-480.954,
2005-10,-439.006,
2006-01,-721.643,
2006-04,-448.173,
2006-07,-502.611,
2006-10,-270.259,
2007-01,-526.781,
2007-04,-432.323,
2007-07,-587.340,
2007-10,-460.795,
2008-01,-473.804,
2008-04,-417.564,
2008-07,-658.663,
2008-10,-410.476,
2009-01,-584.201,
2009-04,-285.761,
2009-07,-585.044,
2009-10,-547.116,
2010-01,-501.779,
2010-04,-517.389,
2010-07,-405.842,
2010-10,-602.091,
2011-01,-347.812,
2011-04,-297.057,
2011-07,-465.465,
2011-10,-414.472,
2012-01,-454.299,
2012-04,-285.736,
2012-07,-712.284,
2012-10,-416.461,
2013-01,-430.525,
2013-04,-584.752,
2013-07,-493.058,
2013-10,-553.360,
2014-01,-327.802,Provisional value
2014-04,-207.615,Provisional value
2014-07,-314.830,Provisional value
