"",BBK01.OEBL08I,BBK01.OEBL08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:58,
2002-01,4.137,
2002-04,3.625,
2002-07,3.558,
2002-10,3.704,
2003-01,3.654,
2003-04,3.579,
2003-07,2.789,
2003-10,2.826,
2004-01,2.773,
2004-04,2.737,
2004-07,2.866,
2004-10,2.912,
2005-01,5.530,
2005-04,5.519,
2005-07,5.497,
2005-10,5.570,
2006-01,5.550,
2006-04,5.502,
2006-07,5.384,
2006-10,5.850,
2007-01,6.073,
2007-04,6.007,
2007-07,6.009,
2007-10,6.079,
2008-01,6.041,
2008-04,6.175,
2008-07,6.070,
2008-10,6.491,
2009-01,6.642,
2009-04,6.844,
2009-07,7.215,
2009-10,7.427,
2010-01,7.296,
2010-04,7.144,
2010-07,6.641,
2010-10,6.708,
2011-01,6.568,
2011-04,6.412,
2011-07,6.385,
2011-10,6.467,
2012-01,6.813,
2012-04,6.733,
2012-07,6.738,
2012-10,6.877,
2013-01,6.845,
2013-04,6.828,
2013-07,6.760,
2013-10,6.788,
2014-01,6.748,
2014-04,6.704,
2014-07,6.809,
