"",BBK01.CEBFI0,BBK01.CEBFI0_FLAGS
"",longer-term loans debtor: Households and non-profit institutions serving households                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:14,
1991-01,673.0,
1991-04,684.0,
1991-07,700.5,
1991-10,724.4,
1992-01,734.9,
1992-04,750.4,
1992-07,768.2,
1992-10,784.7,
1993-01,796.1,
1993-04,814.6,
1993-07,837.1,
1993-10,870.8,
1994-01,888.0,
1994-04,908.1,
1994-07,931.0,
1994-10,963.9,
1995-01,970.6,
1995-04,986.9,
1995-07,1006.4,
1995-10,1034.1,
1996-01,1047.6,
1996-04,1064.0,
1996-07,1083.3,
1996-10,1110.2,
1997-01,1121.9,
1997-04,1139.8,
1997-07,1157.7,
1997-10,1176.1,
1998-01,1184.1,
1998-04,1199.1,
1998-07,1213.1,
1998-10,1244.6,
1999-01,1271.2,
1999-04,1301.5,
1999-07,1320.5,
1999-10,1341.6,
2000-01,1348.0,
2000-04,1363.2,
2000-07,1374.3,
2000-10,1387.3,
2001-01,1389.9,
2001-04,1394.0,
2001-07,1405.6,
2001-10,1411.9,
2002-01,1410.8,
2002-04,1415.4,
2002-07,1422.3,
2002-10,1431.8,
2003-01,1431.9,
2003-04,1439.0,
2003-07,1448.2,
2003-10,1455.5,
2004-01,1448.8,
2004-04,1455.1,
2004-07,1463.5,
2004-10,1467.4,
2005-01,1456.7,
2005-04,1463.1,
2005-07,1467.6,
2005-10,1469.2,
2006-01,1471.4,
2006-04,1473.5,
2006-07,1478.5,
2006-10,1476.5,
2007-01,1469.0,
2007-04,1466.4,
2007-07,1464.3,
2007-10,1457.7,
2008-01,1447.5,
2008-04,1448.6,
2008-07,1446.9,
2008-10,1441.4,
2009-01,1433.4,
2009-04,1437.5,
2009-07,1442.6,
2009-10,1442.3,
2010-01,1436.6,
2010-04,1439.6,
2010-07,1445.1,
2010-10,1447.5,
2011-01,1444.2,
2011-04,1448.1,
2011-07,1460.1,
2011-10,1464.8,
2012-01,1463.0,
2012-04,1468.7,
2012-07,1475.9,
2012-10,1480.0,
2013-01,1478.8,
2013-04,1484.9,
2013-07,1493.0,
2013-10,1495.7,
2014-01,1495.4,
