"",BBK01.OEHL08S,BBK01.OEHL08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:19,
2002-01,5.733,
2002-04,5.666,
2002-07,5.696,
2002-10,5.935,
2003-01,6.067,
2003-04,6.094,
2003-07,6.145,
2003-10,6.311,
2004-01,6.372,
2004-04,6.335,
2004-07,6.423,
2004-10,6.578,
2005-01,6.729,
2005-04,6.752,
2005-07,6.752,
2005-10,6.865,
2006-01,6.876,
2006-04,6.766,
2006-07,6.694,
2006-10,6.687,
2007-01,6.500,
2007-04,6.366,
2007-07,6.213,
2007-10,6.242,
2008-01,6.128,
2008-04,6.012,
2008-07,5.922,
2008-10,6.002,
2009-01,6.083,
2009-04,6.187,
2009-07,6.490,
2009-10,6.982,
2010-01,7.360,
2010-04,7.524,
2010-07,7.689,
2010-10,7.933,
2011-01,7.971,
2011-04,7.945,
2011-07,8.004,
2011-10,8.201,
2012-01,8.253,
2012-04,8.222,
2012-07,8.273,
2012-10,8.463,
2013-01,8.561,
2013-04,8.608,
2013-07,8.738,
2013-10,8.917,
2014-01,8.967,
2014-04,9.068,
2014-07,9.146,
