"",BBFN1.M.DE.N.1.L.PT.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PT.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:29,
1994-07,0.171,
1994-08,0.187,
1994-09,0.228,
1994-10,0.232,
1994-11,0.229,
1994-12,0.227,
1995-01,0.249,
1995-02,0.251,
1995-03,0.286,
1995-04,0.253,
1995-05,0.277,
1995-06,0.303,
1995-07,0.317,
1995-08,0.297,
1995-09,0.318,
1995-10,0.375,
1995-11,0.423,
1995-12,0.378,
1996-01,0.333,
1996-02,0.435,
1996-03,0.407,
1996-04,0.429,
1996-05,0.441,
1996-06,0.416,
1996-07,0.444,
1996-08,0.289,
1996-09,0.414,
1996-10,0.432,
1996-11,0.403,
1996-12,0.355,
1997-01,0.382,
1997-02,0.442,
1997-03,0.427,
1997-04,0.449,
1997-05,0.449,
1997-06,0.485,
1997-07,0.519,
1997-08,0.333,
1997-09,0.365,
1997-10,0.432,
1997-11,0.550,
1997-12,0.473,
1998-01,0.489,
1998-02,0.535,
1998-03,0.584,
1998-04,0.587,
1998-05,0.624,
1998-06,0.664,
1998-07,0.707,
1998-08,0.545,
1998-09,0.735,
1998-10,0.698,
1998-11,0.682,
1998-12,0.417,
1999-01,0.605,
1999-02,0.519,
1999-03,0.519,
1999-04,0.571,
1999-05,0.682,
1999-06,0.552,
1999-07,0.631,
1999-08,0.464,
1999-09,0.621,
1999-10,0.576,
1999-11,0.704,
1999-12,0.644,
2000-01,0.665,
2000-02,0.657,
2000-03,0.579,
2000-04,0.671,
2000-05,0.693,
2000-06,0.716,
2000-07,0.738,
2000-08,0.706,
2000-09,0.718,
2000-10,0.786,
2000-11,0.768,
2000-12,0.781,
2001-01,0.689,
2001-02,0.716,
2001-03,0.652,
2001-04,0.556,
2001-05,0.632,
2001-06,0.629,
2001-07,0.645,
2001-08,0.483,
2001-09,0.657,
2001-10,0.661,
2001-11,0.667,
2001-12,0.598,
2002-01,0.443,
2002-02,0.538,
2002-03,0.555,
2002-04,0.574,
2002-05,0.546,
2002-06,0.610,
2002-07,0.672,
2002-08,0.519,
2002-09,0.656,
2002-10,0.657,
2002-11,0.678,
2002-12,0.553,
2003-01,0.497,
2003-02,0.483,
2003-03,0.557,
2003-04,0.508,
2003-05,0.530,
2003-06,0.547,
2003-07,0.554,
2003-08,0.482,
2003-09,0.602,
2003-10,0.557,
2003-11,0.573,
2003-12,0.521,
2004-01,0.505,
2004-02,0.511,
2004-03,0.645,
2004-04,0.517,
2004-05,0.611,
2004-06,0.554,
2004-07,0.679,
2004-08,0.515,
2004-09,0.727,
2004-10,0.730,
2004-11,0.673,
2004-12,0.592,
2005-01,0.530,
2005-02,0.552,
2005-03,0.555,
2005-04,0.541,
2005-05,0.530,
2005-06,0.538,
2005-07,0.650,
2005-08,0.520,
2005-09,0.714,
2005-10,0.694,
2005-11,0.701,
2005-12,0.648,
2006-01,0.560,
2006-02,0.479,
2006-03,0.655,
2006-04,0.580,
2006-05,0.561,
2006-06,0.575,
2006-07,0.789,
2006-08,0.700,
2006-09,0.892,
2006-10,0.836,
2006-11,0.895,
2006-12,0.734,
2007-01,0.630,
2007-02,0.654,
2007-03,0.753,
2007-04,0.674,
2007-05,0.710,
2007-06,0.757,
2007-07,0.762,
2007-08,0.641,
2007-09,0.692,
2007-10,0.753,
2007-11,0.789,
2007-12,0.636,
2008-01,0.646,
2008-02,0.719,
2008-03,0.707,
2008-04,0.663,
2008-05,0.629,
2008-06,0.638,
2008-07,0.985,
2008-08,0.560,
2008-09,0.741,
2008-10,0.722,
2008-11,0.779,
2008-12,0.733,
2009-01,0.606,
2009-02,0.597,
2009-03,0.975,
2009-04,0.643,
2009-05,0.651,
2009-06,0.706,
2009-07,0.575,
2009-08,0.438,
2009-09,0.585,
2009-10,0.587,
2009-11,0.556,
2009-12,0.500,
2010-01,0.572,
2010-02,0.590,
2010-03,0.617,
2010-04,0.566,
2010-05,0.659,
2010-06,0.653,
2010-07,0.659,
2010-08,0.563,
2010-09,0.666,
2010-10,0.721,
2010-11,0.654,
2010-12,0.700,
2011-01,0.707,
2011-02,0.712,
2011-03,0.750,
2011-04,0.748,
2011-05,0.775,
2011-06,0.763,
2011-07,0.798,
2011-08,0.655,
2011-09,0.816,
2011-10,0.851,
2011-11,0.835,
2011-12,0.649,
2012-01,0.682,
2012-02,0.647,
2012-03,0.764,
2012-04,0.680,
2012-05,0.739,
2012-06,0.689,
2012-07,0.701,
2012-08,0.540,
2012-09,0.669,
2012-10,0.666,
2012-11,0.665,
2012-12,0.564,
2013-01,0.584,
2013-02,0.602,
2013-03,0.622,
2013-04,0.654,
2013-05,0.653,
2013-06,0.650,
2013-07,0.652,
2013-08,0.572,
2013-09,0.686,
2013-10,0.642,
2013-11,0.749,
2013-12,0.623,
2014-01,0.626,
2014-02,0.724,
2014-03,0.822,
2014-04,0.756,
2014-05,0.757,
2014-06,0.795,
2014-07,0.787,
2014-08,0.567,
2014-09,0.764,
2014-10,0.750,
2014-11,0.707,
2014-12,0.573,
