"",BBK01.OEHI04N,BBK01.OEHI04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:45,
2002-01,18.948,
2002-04,19.314,
2002-07,19.296,
2002-10,19.645,
2003-01,18.935,
2003-04,18.239,
2003-07,17.323,
2003-10,17.255,
2004-01,16.420,
2004-04,15.847,
2004-07,15.905,
2004-10,16.079,
2005-01,15.557,
2005-04,15.385,
2005-07,14.655,
2005-10,15.562,
2006-01,15.795,
2006-04,16.331,
2006-07,17.610,
2006-10,18.346,
2007-01,19.056,
2007-04,20.324,
2007-07,23.374,
2007-10,23.980,
2008-01,25.410,
2008-04,26.861,
2008-07,29.376,
2008-10,30.982,
2009-01,25.526,
2009-04,21.836,
2009-07,18.654,
2009-10,16.359,
2010-01,15.112,
2010-04,14.270,
2010-07,14.650,
2010-10,15.505,
2011-01,16.115,
2011-04,16.801,
2011-07,17.714,
2011-10,17.912,
2012-01,17.389,
2012-04,16.733,
2012-07,14.377,
2012-10,13.067,
2013-01,13.337,
2013-04,12.441,
2013-07,11.567,
2013-10,11.060,
2014-01,10.867,
2014-04,10.100,
2014-07,9.941,
