"",BBK01.OUP113,BBK01.OUP113_FLAGS
"",Time deposits of domestic banks (MFIs) (excluding the Bundesbank) / short-therm / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:10:33,
2011-07,7.064,
2011-08,6.887,
2011-09,7.699,
2011-10,7.430,
2011-11,7.479,
2011-12,6.505,
2012-01,6.180,
2012-02,5.391,
2012-03,5.640,
2012-04,5.894,
2012-05,5.263,
2012-06,4.702,
2012-07,6.445,
2012-08,6.337,
2012-09,6.926,
2012-10,6.008,
2012-11,5.499,
2012-12,4.169,
2013-01,5.411,
2013-02,6.136,
2013-03,6.690,
2013-04,6.703,
2013-05,6.966,
2013-06,6.631,
2013-07,6.614,
2013-08,26.448,
2013-09,25.082,
2013-10,24.435,
2013-11,27.897,
2013-12,17.774,
2014-01,25.829,
2014-02,26.999,
2014-03,27.487,
2014-04,27.107,
2014-05,32.679,
2014-06,26.632,
2014-07,27.288,
2014-08,33.677,
2014-09,32.538,
2014-10,31.236,
2014-11,25.841,
2014-12,18.971,Provisional value
