"",BBK01.PC3253,BBK01.PC3253_FLAGS
"",Lending to domestic enterprises and self-employed persons / Medium-term / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:22:20,
1999-01,1.006,
1999-04,0.957,
1999-07,0.927,
1999-10,0.917,
2000-01,0.837,
2000-04,0.839,
2000-07,0.870,
2000-10,0.866,
2001-01,0.877,
2001-04,0.889,
2001-07,0.886,
2001-10,0.906,
2002-01,0.937,
2002-04,0.959,
2002-07,0.989,
2002-10,1.022,
2003-01,1.057,
2003-04,1.120,
2003-07,1.091,
2003-10,1.078,
2004-01,1.043,
2004-04,1.005,
2004-07,0.989,
2004-10,0.988,
2005-01,0.941,
2005-04,0.934,
2005-07,0.919,
2005-10,0.900,
2006-01,0.876,
2006-04,0.888,
2006-07,0.883,
2006-10,0.895,
2007-01,0.886,
2007-04,0.856,
2007-07,0.826,
2007-10,0.807,
2008-01,0.784,
2008-04,0.781,
2008-07,0.780,
2008-10,0.767,
2009-01,0.768,
2009-04,0.774,
2009-07,0.912,
2009-10,0.946,
2010-01,0.965,
2010-04,0.985,
2010-07,1.010,
2010-10,1.020,
2011-01,1.013,
2011-04,1.024,
2011-07,1.019,
2011-10,1.037,
2012-01,1.034,
2012-04,1.043,
2012-07,1.025,
2012-10,1.027,
2013-01,0.998,
2013-04,1.027,
2013-07,1.024,
2013-10,0.998,
2014-01,0.985,
2014-04,0.976,
2014-07,0.894,
2014-10,0.876,
