"",BBK01.WXI053,BBK01.WXI053_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:15,
2009-09,18,
2009-10,7,
2009-11,5,
2009-12,3,
2010-01,5,
2010-02,10,
2010-03,5,
2010-04,6,
2010-05,5,
2010-06,5,
2010-07,7,
2010-08,8,
2010-09,13,
2010-10,9,
2010-11,7,
2010-12,8,
2011-01,3,
2011-02,53,
2011-03,2,
2011-04,3,
2011-05,5,
2011-06,11,
2011-07,4,
2011-08,32,
2011-09,17,
2011-10,24,
2011-11,49,
2011-12,11,
2012-01,12,
2012-02,16,
2012-03,19,
2012-04,10,
2012-05,11,
2012-06,201,
2012-07,44,
2012-08,16,
2012-09,12,
2012-10,10,
2012-11,5,
2012-12,6,
2013-01,5,
2013-02,8,
2013-03,10,
2013-04,10,
2013-05,5,
2013-06,9,
2013-07,12,
2013-08,8,
2013-09,9,
2013-10,4,
2013-11,6,
2013-12,5,
2014-01,5,
2014-02,8,
2014-03,10,
2014-04,8,
2014-05,11,
2014-06,9,
2014-07,11,
2014-08,11,
2014-09,11,
2014-10,13,
2014-11,18,
