"",BBK01.OECB05L,BBK01.OECB05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:26,
2002-01,37.093,
2002-04,32.385,
2002-07,34.089,
2002-10,30.131,
2003-01,32.558,
2003-04,33.201,
2003-07,35.737,
2003-10,34.024,
2004-01,32.411,
2004-04,28.474,
2004-07,31.718,
2004-10,34.208,
2005-01,41.928,
2005-04,42.467,
2005-07,50.368,
2005-10,48.677,
2006-01,55.245,
2006-04,58.758,
2006-07,60.238,
2006-10,40.875,
2007-01,56.912,
2007-04,56.877,
2007-07,54.820,
2007-10,51.434,
2008-01,60.000,
2008-04,54.467,
2008-07,50.233,
2008-10,47.042,
2009-01,50.704,
2009-04,53.806,
2009-07,54.219,
2009-10,50.849,
2010-01,47.988,
2010-04,49.221,
2010-07,47.398,
2010-10,56.878,
2011-01,57.663,
2011-04,58.612,
2011-07,55.516,
2011-10,57.980,
2012-01,56.891,
2012-04,54.598,
2012-07,54.477,
2012-10,56.674,
2013-01,60.639,
2013-04,69.642,
2013-07,40.967,
2013-10,42.592,
2014-01,44.196,
2014-04,44.266,
2014-07,45.380,
