"",BBSF2.M.1.T.00000.GEF01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.GEF01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Mixed funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:04,
2009-09,44533,
2009-10,45396,
2009-11,46358,
2009-12,46162,
2010-01,46935,
2010-02,47612,
2010-03,49661,
2010-04,49990,
2010-05,49509,
2010-06,48885,
2010-07,49773,
2010-08,50941,
2010-09,51293,
2010-10,50983,
2010-11,49471,
2010-12,46751,
2011-01,46558,
2011-02,47301,
2011-03,47205,
2011-04,48001,
2011-05,48522,
2011-06,47798,
2011-07,48229,
2011-08,47599,
2011-09,47205,
2011-10,46669,
2011-11,45947,
2011-12,47491,
2012-01,49580,
2012-02,50859,
2012-03,51531,
2012-04,51800,
2012-05,51959,
2012-06,52897,
2012-07,54331,
2012-08,54305,
2012-09,54770,
2012-10,55754,
2012-11,57225,
2012-12,58232,
2013-01,58668,
2013-02,59337,
2013-03,59075,
2013-04,59913,
2013-05,59821,
2013-06,58007,
2013-07,58535,
2013-08,58306,
2013-09,58466,
2013-10,57366,
2013-11,57646,
2013-12,57186,
2014-01,58462,
2014-02,58524,
2014-03,59336,
2014-04,59769,
2014-05,60971,
2014-06,60322,
2014-07,58947,
2014-08,54662,
2014-09,54510,
2014-10,57880,
2014-11,58571,
