"",BBK01.CEB730,BBK01.CEB730_FLAGS
"",Other liabilities debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:20,
1991-01,53.3,
1991-04,40.8,
1991-07,50.4,
1991-10,53.0,
1992-01,70.6,
1992-04,62.7,
1992-07,55.2,
1992-10,78.2,
1993-01,80.1,
1993-04,78.0,
1993-07,81.0,
1993-10,99.1,
1994-01,96.1,
1994-04,88.7,
1994-07,86.5,
1994-10,98.8,
1995-01,112.4,
1995-04,100.9,
1995-07,109.0,
1995-10,106.0,
1996-01,121.2,
1996-04,116.9,
1996-07,120.2,
1996-10,125.6,
1997-01,141.5,
1997-04,137.0,
1997-07,156.4,
1997-10,153.6,
1998-01,173.9,
1998-04,184.9,
1998-07,185.6,
1998-10,171.6,
1999-01,159.1,
1999-04,152.8,
1999-07,161.1,
1999-10,203.8,
2000-01,183.5,
2000-04,205.9,
2000-07,199.1,
2000-10,203.3,
2001-01,220.9,
2001-04,197.4,
2001-07,199.6,
2001-10,205.2,
2002-01,207.6,
2002-04,197.3,
2002-07,197.7,
2002-10,199.0,
2003-01,213.9,
2003-04,206.5,
2003-07,186.6,
2003-10,201.2,
2004-01,199.4,
2004-04,191.5,
2004-07,192.7,
2004-10,225.3,
2005-01,201.9,
2005-04,198.9,
2005-07,207.6,
2005-10,214.4,
2006-01,219.3,
2006-04,223.4,
2006-07,231.9,
2006-10,247.2,
2007-01,256.7,
2007-04,260.9,
2007-07,280.4,
2007-10,290.5,
2008-01,305.5,
2008-04,316.7,
2008-07,352.4,
2008-10,371.9,
2009-01,388.8,
2009-04,316.5,
2009-07,328.2,
2009-10,331.3,
2010-01,312.9,
2010-04,338.9,
2010-07,311.8,
2010-10,116.2,
2011-01,119.6,
2011-04,123.0,
2011-07,80.9,
2011-10,117.9,
2012-01,121.2,
2012-04,114.2,
2012-07,101.8,
2012-10,123.3,
2013-01,147.5,
2013-04,139.5,
2013-07,139.8,
2013-10,156.5,
2014-01,131.4,
