"",BBSF2.M.1.S.00000.TOT01.I.F.SSD.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SSD.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Borrowers' note loans,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:04,
2009-09,1703,
2009-10,1711,
2009-11,1885,
2009-12,1787,
2010-01,1886,
2010-02,1891,
2010-03,1862,
2010-04,1826,
2010-05,1864,
2010-06,1846,
2010-07,1869,
2010-08,1952,
2010-09,1972,
2010-10,1971,
2010-11,2060,
2010-12,2516,
2011-01,2489,
2011-02,2475,
2011-03,2443,
2011-04,2602,
2011-05,2582,
2011-06,2461,
2011-07,2461,
2011-08,2499,
2011-09,2402,
2011-10,2428,
2011-11,2430,
2011-12,2601,
2012-01,2216,
2012-02,2428,
2012-03,2422,
2012-04,2483,
2012-05,2571,
2012-06,2596,
2012-07,2539,
2012-08,2681,
2012-09,2685,
2012-10,2669,
2012-11,2705,
2012-12,3082,
2013-01,2936,
2013-02,2865,
2013-03,2810,
2013-04,2650,
2013-05,2603,
2013-06,2581,
2013-07,2613,
2013-08,2620,
2013-09,2541,
2013-10,2979,
2013-11,2695,
2013-12,2853,
2014-01,3012,
2014-02,3474,
2014-03,3818,
2014-04,3383,
2014-05,3376,
2014-06,3415,
2014-07,3485,
2014-08,4350,
2014-09,3934,
2014-10,3961,
2014-11,4022,
