"",BBFB1.Q.N.DE.FR.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:20,
1991-01,1261.134,
1991-04,854.116,
1991-07,1390.727,
1991-10,1685.411,
1992-01,1032.048,
1992-04,1160.236,
1992-07,2023.552,
1992-10,1738.419,
1993-01,1436.656,
1993-04,1954.291,
1993-07,2063.307,
1993-10,1510.896,
1994-01,2729.188,
1994-04,1649.102,
1994-07,2046.705,
1994-10,2181.738,
1995-01,2268.995,
1995-04,2437.122,
1995-07,2323.863,
1995-10,2644.109,
1996-01,1582.009,
1996-04,1675.767,
1996-07,2184.866,
1996-10,1532.007,
1997-01,1465.682,
1997-04,1533.486,
1997-07,1411.426,
1997-10,1486.376,
1998-01,1536.705,
1998-04,2067.188,
1998-07,1455.876,
1998-10,1973.657,
1999-01,2758.166,
1999-04,1952.525,
1999-07,3106.695,
1999-10,4057.028,
2000-01,4740.344,
2000-04,3646.196,
2000-07,2981.400,
2000-10,3872.823,
2001-01,4747.328,
2001-04,4386.703,
2001-07,4658.692,
2001-10,4824.034,
2002-01,5599.709,
2002-04,5908.485,
2002-07,4596.931,
2002-10,5175.778,
2003-01,5413.259,
2003-04,4584.245,
2003-07,4639.657,
2003-10,5492.013,
2004-01,5478.593,
2004-04,5602.058,
2004-07,5437.686,
2004-10,6440.231,
2005-01,6696.039,
2005-04,6465.396,
2005-07,6128.413,
2005-10,7313.274,
2006-01,7811.348,
2006-04,6572.850,
2006-07,6114.063,
2006-10,5808.599,
2007-01,7457.191,
2007-04,7285.642,
2007-07,6495.873,
2007-10,8515.205,
2008-01,8740.571,
2008-04,8262.372,
2008-07,7185.802,
2008-10,6697.788,
2009-01,7209.457,
2009-04,6259.948,
2009-07,5893.115,
2009-10,7333.071,
2010-01,7404.596,
2010-04,8131.332,
2010-07,7089.501,
2010-10,8489.406,
2011-01,9421.291,
2011-04,8046.961,
2011-07,8782.423,
2011-10,8349.017,
2012-01,10517.909,
2012-04,8341.666,
2012-07,8136.014,
2012-10,7500.726,
2013-01,8605.356,
2013-04,9325.918,
2013-07,7863.213,
2013-10,8817.142,
2014-01,9991.509,Provisional value
2014-04,9147.997,Provisional value
2014-07,7976.924,Provisional value
