"",BBK01.OEGO04I,BBK01.OEGO04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:24,
2002-01,-0.006,
2002-04,-0.144,
2002-07,-0.079,
2002-10,-0.046,
2003-01,0.058,
2003-04,-,Nothing exists
2003-07,-0.149,
2003-10,-0.141,
2004-01,-0.084,
2004-04,-0.112,
2004-07,-0.143,
2004-10,-0.040,
2005-01,-0.016,
2005-04,-0.101,
2005-07,-0.084,
2005-10,-0.097,
2006-01,-0.069,
2006-04,-0.070,
2006-07,-0.143,
2006-10,-0.050,
2007-01,-0.032,
2007-04,-0.036,
2007-07,0.028,
2007-10,-0.018,
2008-01,-0.075,
2008-04,-0.085,
2008-07,-0.035,
2008-10,0.495,
2009-01,-0.112,
2009-04,-0.468,
2009-07,-0.503,
2009-10,-0.409,
2010-01,-0.234,
2010-04,-0.046,
2010-07,-0.029,
2010-10,0.136,
2011-01,-0.050,
2011-04,-0.138,
2011-07,-0.088,
2011-10,-0.023,
2012-01,-0.015,
2012-04,-0.026,
2012-07,-0.122,
2012-10,0.010,
2013-01,-0.050,
2013-04,-0.040,
2013-07,-0.022,
2013-10,-0.061,
2014-01,-0.048,
2014-04,-0.026,
2014-07,-0.060,
