"",BBK01.OEBJ04I,BBK01.OEBJ04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:23,
2002-01,2.863,
2002-04,2.757,
2002-07,3.054,
2002-10,2.802,
2003-01,2.701,
2003-04,2.274,
2003-07,2.164,
2003-10,2.165,
2004-01,2.007,
2004-04,2.195,
2004-07,2.474,
2004-10,2.531,
2005-01,3.169,
2005-04,2.799,
2005-07,2.223,
2005-10,2.326,
2006-01,2.677,
2006-04,2.225,
2006-07,2.500,
2006-10,2.780,
2007-01,3.005,
2007-04,3.463,
2007-07,3.496,
2007-10,3.593,
2008-01,3.791,
2008-04,4.087,
2008-07,4.142,
2008-10,3.157,
2009-01,2.187,
2009-04,1.897,
2009-07,1.542,
2009-10,1.576,
2010-01,1.720,
2010-04,2.167,
2010-07,2.878,
2010-10,2.655,
2011-01,3.331,
2011-04,3.529,
2011-07,4.021,
2011-10,4.201,
2012-01,3.630,
2012-04,3.536,
2012-07,3.601,
2012-10,3.466,
2013-01,4.124,
2013-04,3.818,
2013-07,3.786,
2013-10,4.209,
2014-01,3.491,
2014-04,3.329,
2014-07,3.168,
