"",BBFN1.M.DE.N.1.A.EG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Egypt,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:31,
1982-09,0.291,
1982-10,0.302,
1982-11,0.315,
1982-12,0.328,
1983-01,0.339,
1983-02,0.348,
1983-03,0.353,
1983-04,0.354,
1983-05,0.365,
1983-06,0.377,
1983-07,0.388,
1983-08,0.395,
1983-09,0.405,
1983-10,0.421,
1983-11,0.437,
1983-12,0.452,
1984-01,0.468,
1984-02,0.486,
1984-03,0.497,
1984-04,0.506,
1984-05,0.519,
1984-06,0.536,
1984-07,0.546,
1984-08,0.558,
1984-09,0.575,
1984-10,0.594,
1984-11,0.613,
1984-12,0.636,
1985-01,0.652,
1985-02,0.658,
1985-03,0.669,
1985-04,0.679,
1985-05,0.689,
1985-06,0.700,
1985-07,0.708,
1985-08,0.469,
1985-09,0.471,
1985-10,0.462,
1985-11,0.465,
1985-12,0.470,
1986-01,0.469,
1986-02,0.471,
1986-03,0.370,
1986-04,0.372,
1986-05,0.375,
1986-06,0.380,
1986-07,0.382,
1986-08,0.388,
1986-09,0.389,
1986-10,0.393,
1986-11,0.395,
1986-12,0.396,
1987-01,0.398,
1987-02,0.401,
1987-03,0.407,
1987-04,0.410,
1987-05,0.411,
1987-06,0.410,
1987-07,0.406,
1987-08,0.294,
1987-09,0.297,
1987-10,0.297,
1987-11,0.299,
1987-12,0.275,
1988-01,0.269,
1988-02,0.254,
1988-03,0.244,
1988-04,0.246,
1988-05,0.256,
1988-06,0.254,
1988-07,0.244,
1988-08,0.237,
1988-09,0.237,
1988-10,0.234,
1988-11,0.237,
1988-12,0.229,
1989-01,0.226,
1989-02,0.220,
1989-03,0.223,
1989-04,0.216,
1989-05,0.206,
1989-06,0.207,
1989-07,0.203,
1989-08,0.203,
1989-09,0.206,
1989-10,0.191,
