"",BBK01.OEAH32Q,BBK01.OEAH32Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:09,
2002-01,1.938,
2002-04,1.958,
2002-07,1.914,
2002-10,2.041,
2003-01,1.830,
2003-04,1.435,
2003-07,1.565,
2003-10,1.468,
2004-01,1.512,
2004-04,1.610,
2004-07,1.475,
2004-10,4.921,
2005-01,3.236,
2005-04,3.374,
2005-07,3.351,
2005-10,3.330,
2006-01,3.003,
2006-04,2.897,
2006-07,3.075,
2006-10,2.917,
2007-01,3.150,
2007-04,3.175,
2007-07,4.411,
2007-10,6.689,
2008-01,7.706,
2008-04,11.173,
2008-07,11.883,
2008-10,10.033,
2009-01,12.438,
2009-04,11.097,
2009-07,10.555,
2009-10,9.104,
2010-01,9.511,
2010-04,14.272,
2010-07,14.940,
2010-10,13.655,
2011-01,6.749,
2011-04,6.470,
2011-07,6.295,
2011-10,6.020,
2012-01,7.216,
2012-04,9.127,
2012-07,9.484,
2012-10,9.786,
2013-01,5.998,
2013-04,5.318,
2013-07,5.212,
2013-10,5.666,
2014-01,5.777,
2014-04,6.697,
2014-07,6.734,
