"",BBK01.OEYL04P,BBK01.OEYL04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:16,
2002-01,0.053,
2002-04,0.055,
2002-07,0.058,
2002-10,0.063,
2003-01,0.064,
2003-04,0.061,
2003-07,0.055,
2003-10,0.052,
2004-01,0.052,
2004-04,0.062,
2004-07,0.052,
2004-10,0.050,
2005-01,0.052,
2005-04,0.051,
2005-07,0.051,
2005-10,0.052,
2006-01,0.050,
2006-04,0.029,
2006-07,0.027,
2006-10,0.028,
2007-01,0.027,
2007-04,0.026,
2007-07,0.036,
2007-10,0.041,
2008-01,0.040,
2008-04,0.048,
2008-07,0.050,
2008-10,0.049,
2009-01,0.025,
2009-04,0.016,
2009-07,0.017,
2009-10,0.006,
2010-01,0.006,
2010-04,0.004,
2010-07,0.004,
2010-10,0.007,
2011-01,0.004,
2011-04,0.006,
2011-07,0.008,
2011-10,0.015,
2012-01,0.029,
2012-04,0.013,
2012-07,0.010,
2012-10,0.010,
2013-01,0.007,
2013-04,0.007,
2013-07,0.006,
2013-10,0.003,
2014-01,0.001,
2014-04,-,Nothing exists
2014-07,-,Nothing exists
