"",BBK01.OECI02T,BBK01.OECI02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:31,
2002-01,1.084,
2002-04,1.281,
2002-07,1.277,
2002-10,1.370,
2003-01,1.274,
2003-04,1.229,
2003-07,1.281,
2003-10,1.338,
2004-01,1.223,
2004-04,1.294,
2004-07,1.245,
2004-10,1.356,
2005-01,1.644,
2005-04,1.691,
2005-07,1.809,
2005-10,1.719,
2006-01,1.718,
2006-04,1.877,
2006-07,1.638,
2006-10,1.831,
2007-01,1.847,
2007-04,1.838,
2007-07,1.817,
2007-10,1.887,
2008-01,1.939,
2008-04,1.957,
2008-07,1.896,
2008-10,2.459,
2009-01,2.222,
2009-04,2.222,
2009-07,2.313,
2009-10,2.532,
2010-01,2.430,
2010-04,2.316,
2010-07,2.275,
2010-10,2.817,
2011-01,2.348,
2011-04,2.394,
2011-07,2.622,
2011-10,2.737,
2012-01,2.481,
2012-04,2.347,
2012-07,2.543,
2012-10,2.900,
2013-01,2.525,
2013-04,2.627,
2013-07,2.723,
2013-10,2.702,
2014-01,2.652,
2014-04,2.534,
2014-07,2.830,
