"",BBK01.OEAF38H,BBK01.OEAF38H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:31,
2002-01,2.024,
2002-04,2.023,
2002-07,2.019,
2002-10,2.007,
2003-01,2.010,
2003-04,1.992,
2003-07,1.949,
2003-10,1.912,
2004-01,1.883,
2004-04,1.877,
2004-07,1.852,
2004-10,1.816,
2005-01,1.821,
2005-04,1.808,
2005-07,1.780,
2005-10,1.735,
2006-01,1.693,
2006-04,1.661,
2006-07,1.692,
2006-10,1.775,
2007-01,1.853,
2007-04,1.810,
2007-07,1.748,
2007-10,1.694,
2008-01,1.691,
2008-04,1.628,
2008-07,1.598,
2008-10,1.590,
2009-01,1.553,
2009-04,1.405,
2009-07,1.420,
2009-10,1.395,
2010-01,1.370,
2010-04,1.398,
2010-07,1.470,
2010-10,1.482,
2011-01,1.511,
2011-04,1.515,
2011-07,1.506,
2011-10,1.526,
2012-01,1.554,
2012-04,1.587,
2012-07,1.575,
2012-10,1.564,
2013-01,1.606,
2013-04,1.619,
2013-07,1.620,
2013-10,1.618,
2014-01,1.612,
2014-04,1.626,
2014-07,1.653,
