"",BBSF2.M.1.S.00000.DAC01.T.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.T.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Sales receipts / Not defined / Cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:34,
2009-09,1,
2009-10,9,
2009-11,1,
2009-12,1,
2010-01,28,
2010-02,1,
2010-03,3,
2010-04,1,
2010-05,1,
2010-06,1,
2010-07,1,
2010-08,1,
2010-09,149,
2010-10,9,
2010-11,5,
2010-12,7,
2011-01,30,
2011-02,4,
2011-03,7,
2011-04,4,
2011-05,5,
2011-06,4,
2011-07,4,
2011-08,4,
2011-09,10,
2011-10,18,
2011-11,10,
2011-12,26,
2012-01,36,
2012-02,5,
2012-03,9,
2012-04,5,
2012-05,5,
2012-06,4,
2012-07,5,
2012-08,4,
2012-09,5,
2012-10,6,
2012-11,14,
2012-12,9,
2013-01,34,
2013-02,8,
2013-03,10,
2013-04,5,
2013-05,6,
2013-06,5,
2013-07,63,
2013-08,6,
2013-09,5,
2013-10,72,
2013-11,25,
2013-12,20,
2014-01,36,
2014-02,8,
2014-03,9,
2014-04,6,
2014-05,9,
2014-06,14,
2014-07,6,
2014-08,6,
2014-09,6,
2014-10,6,
2014-11,10,
