"",BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:49,
1991-01,3222.637,
1991-02,5036.844,
1991-03,6315.514,
1991-04,3038.069,
1991-05,2956.906,
1991-06,3014.353,
1991-07,3315.211,
1991-08,3253.102,
1991-09,3007.820,
1991-10,3264.314,
1991-11,3029.846,
1991-12,4066.879,
1992-01,3546.374,
1992-02,3675.552,
1992-03,3393.087,
1992-04,3477.193,
1992-05,3019.893,
1992-06,3269.537,
1992-07,3894.952,
1992-08,3367.664,
1992-09,3247.869,
1992-10,3575.029,
1992-11,2942.587,
1992-12,4287.995,
1993-01,3870.821,
1993-02,3544.422,
1993-03,3501.771,
1993-04,3822.771,
1993-05,3565.192,
1993-06,3646.620,
1993-07,3880.035,
1993-08,3912.465,
1993-09,3589.449,
1993-10,3808.277,
1993-11,3686.954,
1993-12,5541.751,
1994-01,4944.647,
1994-02,4554.569,
1994-03,2869.009,
1994-04,3886.641,
1994-05,3875.135,
1994-06,3860.489,
1994-07,4396.851,
1994-08,3907.230,
1994-09,3935.783,
1994-10,3934.175,
1994-11,3955.238,
1994-12,5210.821,
1995-01,4731.549,
1995-02,4310.650,
1995-03,3143.018,
1995-04,3990.552,
1995-05,4058.177,
1995-06,3234.563,
1995-07,3895.393,
1995-08,3804.017,
1995-09,3815.171,
1995-10,4186.341,
1995-11,3799.904,
1995-12,5100.288,
1996-01,5174.763,
1996-02,3742.551,
1996-03,3757.293,
1996-04,4156.832,
1996-05,4017.044,
1996-06,4144.075,
1996-07,4345.101,
1996-08,4347.570,
1996-09,2079.504,
1996-10,3992.613,
1996-11,4117.389,
1996-12,4205.541,
1997-01,6562.017,
1997-02,4514.802,
1997-03,3562.014,
1997-04,3744.726,
1997-05,3856.948,
1997-06,4063.804,
1997-07,4348.322,
1997-08,4486.189,
1997-09,4219.429,
1997-10,4231.772,
1997-11,4310.313,
1997-12,2701.634,
1998-01,7064.185,
1998-02,4651.369,
1998-03,3806.698,
1998-04,3647.166,
1998-05,3665.355,
1998-06,3418.989,
1998-07,3864.545,
1998-08,4390.612,
1998-09,4261.078,
1998-10,4377.803,
1998-11,4600.366,
1998-12,3580.869,
1999-01,6333.827,
1999-02,4610.401,
1999-03,3467.472,
1999-04,4409.842,
1999-05,4500.451,
1999-06,4177.858,
1999-07,5071.696,
1999-08,4880.714,
1999-09,4743.894,
1999-10,4790.496,
1999-11,4803.569,
1999-12,4678.997,
2000-01,6996.029,
2000-02,4271.490,
2000-03,4373.162,
2000-04,5103.080,
2000-05,5038.026,
2000-06,4667.535,
2000-07,5533.770,
2000-08,5065.958,
2000-09,3922.784,
2000-10,5315.616,
2000-11,5552.244,
