"",BBK01.OEXL06G,BBK01.OEXL06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:19,
2002-01,0.910,
2002-04,0.875,
2002-07,0.743,
2002-10,0.403,
2003-01,0.312,
2003-04,0.281,
2003-07,0.256,
2003-10,0.237,
2004-01,0.222,
2004-04,0.217,
2004-07,0.205,
2004-10,0.200,
2005-01,0.242,
2005-04,0.244,
2005-07,0.261,
2005-10,0.269,
2006-01,0.278,
2006-04,0.295,
2006-07,0.338,
2006-10,0.303,
2007-01,0.311,
2007-04,0.332,
2007-07,0.336,
2007-10,0.397,
2008-01,0.484,
2008-04,0.596,
2008-07,0.642,
2008-10,0.739,
2009-01,0.856,
2009-04,0.734,
2009-07,0.648,
2009-10,0.570,
2010-01,0.587,
2010-04,0.758,
2010-07,0.862,
2010-10,0.941,
2011-01,1.024,
2011-04,1.124,
2011-07,1.197,
2011-10,1.194,
2012-01,1.146,
2012-04,1.168,
2012-07,1.128,
2012-10,1.044,
2013-01,0.898,
2013-04,0.711,
2013-07,0.665,
2013-10,0.638,
2014-01,0.606,
2014-04,0.543,
2014-07,0.455,
