"",BBFN1.M.DE.N.1.A.IR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:11,
1975-12,0.022,
1976-01,0.028,
1976-02,0.043,
1976-03,0.026,
1976-04,0.022,
1976-05,0.020,
1976-06,0.041,
1976-07,0.043,
1976-08,0.045,
1976-09,0.040,
1976-10,0.039,
1976-11,0.051,
1976-12,0.039,
1977-01,0.043,
1977-02,0.042,
1977-03,0.043,
1977-04,0.042,
1977-05,0.048,
1977-06,0.044,
1977-07,0.039,
1977-08,0.040,
1977-09,0.037,
1977-10,0.034,
1977-11,0.039,
1977-12,0.041,
1978-01,0.041,
1978-02,0.042,
1978-03,0.035,
1978-04,0.031,
1978-05,0.033,
1978-06,0.037,
1978-07,0.038,
1978-08,0.039,
1978-09,0.054,
1978-10,0.067,
1978-11,0.063,
1978-12,0.061,
1979-01,0.046,
1979-02,0.046,
1979-03,0.043,
1979-04,0.044,
1979-05,0.059,
1979-06,0.054,
1979-07,0.060,
1979-08,0.057,
1979-09,0.056,
1979-10,0.058,
1979-11,0.059,
1979-12,0.056,
1980-01,0.058,
1980-02,0.059,
1980-03,0.042,
1980-04,0.042,
1980-05,0.044,
1980-06,0.053,
1980-07,0.070,
1980-08,0.070,
1980-09,0.071,
1980-10,0.038,
1980-11,0.037,
1980-12,0.038,
1981-01,0.038,
1981-02,0.034,
1981-03,0.038,
1981-04,0.042,
1981-05,0.046,
1981-06,0.048,
1981-07,0.055,
1981-08,0.053,
1981-09,0.052,
1981-10,0.059,
1981-11,0.053,
1981-12,0.061,
1982-01,0.053,
1982-02,0.042,
1982-03,0.047,
1982-04,0.047,
1982-05,0.049,
1982-06,0.050,
1982-07,0.046,
1982-08,0.047,
1982-09,0.047,
1982-10,0.048,
1982-11,0.045,
1982-12,0.048,
1983-01,0.040,
1983-02,0.037,
1983-03,0.036,
1983-04,0.032,
1983-05,0.032,
1983-06,0.032,
1983-07,0.037,
1983-08,0.037,
1983-09,0.037,
1983-10,0.028,
1983-11,0.028,
1983-12,0.024,
1984-01,0.032,
1984-02,0.031,
1984-03,0.033,
1984-04,0.030,
1984-05,0.029,
1984-06,0.027,
1984-07,0.028,
1984-08,0.028,
1984-09,0.028,
1984-10,0.046,
1984-11,0.046,
1984-12,0.045,
1985-01,0.046,
1985-02,0.050,
1985-03,0.058,
1985-04,0.070,
1985-05,0.053,
1985-06,0.037,
1985-07,0.034,
1985-08,0.030,
1985-09,0.028,
1985-10,0.026,
1985-11,0.028,
1985-12,0.029,
1986-01,0.029,
1986-02,0.033,
1986-03,0.035,
1986-04,0.037,
1986-05,0.037,
1986-06,0.031,
1986-07,0.026,
1986-08,0.022,
1986-09,0.021,
1986-10,0.020,
1986-11,0.024,
1986-12,0.026,
1987-01,0.026,
1987-02,0.025,
1987-03,0.028,
1987-04,0.032,
1987-05,0.039,
1987-06,0.042,
1987-07,0.048,
1987-08,0.052,
1987-09,0.053,
1987-10,0.053,
1987-11,0.053,
1987-12,0.050,
1988-01,0.051,
1988-02,0.056,
1988-03,0.056,
1988-04,0.052,
1988-05,0.053,
1988-06,0.051,
1988-07,0.052,
1988-08,0.051,
1988-09,0.052,
1988-10,0.046,
1988-11,0.043,
1988-12,0.042,
1989-01,0.044,
1989-02,0.045,
1989-03,0.043,
1989-04,0.043,
1989-05,0.043,
1989-06,0.042,
1989-07,0.045,
1989-08,0.044,
1989-09,0.033,
1989-10,0.049,
1989-11,0.048,
1989-12,0.043,
1990-01,0.043,
1990-02,0.041,
1990-03,0.040,
1990-04,0.037,
1990-05,0.046,
1990-06,0.038,
1990-07,0.039,
1990-08,0.036,
1990-09,0.035,
1990-10,0.034,
1990-11,0.030,
1990-12,0.044,
1991-01,0.045,
1991-02,0.046,
1991-03,0.044,
1991-04,0.056,
1991-05,0.028,
1991-06,0.029,
1991-07,0.032,
1991-08,0.032,
1991-09,0.037,
1991-10,0.036,
1991-11,0.035,
1991-12,0.041,
1992-01,0.064,
1992-02,0.057,
1992-03,0.060,
1992-04,0.080,
1992-05,0.071,
1992-06,0.062,
1992-07,0.061,
1992-08,0.061,
1992-09,0.061,
1992-10,0.056,
1992-11,0.055,
1992-12,0.057,
1993-01,0.048,
1993-02,0.044,
1993-03,0.054,
1993-04,0.054,
1993-05,0.047,
1993-06,0.049,
1993-07,0.048,
1993-08,0.056,
1993-09,0.053,
1993-10,0.040,
1993-11,0.040,
1993-12,0.039,
1994-01,0.039,
1994-02,0.046,
1994-03,0.033,
1994-04,0.032,
1994-05,0.032,
1994-06,0.037,
1994-07,0.037,
1994-08,0.027,
1994-09,0.026,
1994-10,0.020,
1994-11,0.026,
1994-12,0.031,
1995-01,0.047,
1995-02,0.045,
1995-03,0.046,
1995-04,0.044,
1995-05,0.044,
1995-06,0.046,
1995-07,0.044,
1995-08,0.043,
1995-09,0.042,
1995-10,0.041,
1995-11,0.038,
1995-12,0.130,
1996-01,0.141,
1996-02,0.132,
1996-03,0.128,
1996-04,0.129,
1996-05,0.132,
1996-06,0.133,
1996-07,0.131,
1996-08,0.131,
1996-09,0.132,
1996-10,0.124,
1996-11,0.122,
1996-12,0.120,
1997-01,0.118,
1997-02,0.116,
1997-03,0.110,
1997-04,0.108,
1997-05,0.108,
1997-06,0.120,
1997-07,0.160,
1997-08,0.159,
1997-09,0.152,
1997-10,0.133,
1997-11,0.131,
1997-12,0.132,
1998-01,0.127,
1998-02,0.118,
