"",BBK01.OEBM01H,BBK01.OEBM01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:15,
2002-01,3.935,
2002-04,3.681,
2002-07,3.891,
2002-10,3.254,
2003-01,3.025,
2003-04,3.038,
2003-07,2.600,
2003-10,2.407,
2004-01,2.827,
2004-04,2.663,
2004-07,2.590,
2004-10,2.531,
2005-01,2.743,
2005-04,2.723,
2005-07,3.042,
2005-10,3.233,
2006-01,2.763,
2006-04,3.325,
2006-07,4.435,
2006-10,5.223,
2007-01,5.201,
2007-04,5.927,
2007-07,8.946,
2007-10,11.784,
2008-01,8.830,
2008-04,9.692,
2008-07,9.993,
2008-10,12.120,
2009-01,9.851,
2009-04,9.320,
2009-07,6.364,
2009-10,4.757,
2010-01,5.767,
2010-04,4.376,
2010-07,6.941,
2010-10,7.755,
2011-01,7.111,
2011-04,11.922,
2011-07,8.132,
2011-10,7.182,
2012-01,8.941,
2012-04,13.863,
2012-07,11.865,
2012-10,9.760,
2013-01,12.138,
2013-04,12.119,
2013-07,12.780,
2013-10,11.587,
2014-01,13.085,
2014-04,12.994,
2014-07,11.808,
