"",BBNZ1.Q.DE.Y.H.0050.A,BBNZ1.Q.DE.Y.H.0050.A_FLAGS
"","Germany / National accounts / Origin of GDP / Agriculture, forestry and fishing / Chain-linked index / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:44,
1991-01,146.52,
1991-04,146.69,
1991-07,145.81,
1991-10,145.98,
1992-01,142.49,
1992-04,142.49,
1992-07,142.62,
1992-10,141.65,
1993-01,127.81,
1993-04,127.78,
1993-07,128.78,
1993-10,128.07,
1994-01,93.41,
1994-04,93.72,
1994-07,93.75,
1994-10,93.35,
1995-01,95.25,
1995-04,96.14,
1995-07,96.82,
1995-10,95.88,
1996-01,99.55,
1996-04,99.27,
1996-07,99.07,
1996-10,100.09,
1997-01,102.42,
1997-04,98.96,
1997-07,99.33,
1997-10,100.64,
1998-01,97.46,
1998-04,97.38,
1998-07,98.16,
1998-10,100.55,
1999-01,107.45,
1999-04,107.30,
1999-07,106.87,
1999-10,105.35,
2000-01,104.11,
2000-04,103.00,
2000-07,103.22,
2000-10,100.24,
2001-01,98.40,
2001-04,98.33,
2001-07,99.42,
2001-10,100.45,
2002-01,95.98,
2002-04,98.00,
2002-07,98.56,
2002-10,98.91,
2003-01,98.29,
2003-04,100.24,
2003-07,101.67,
2003-10,100.30,
2004-01,135.61,
2004-04,133.42,
2004-07,131.63,
2004-10,129.23,
2005-01,97.53,
2005-04,96.92,
2005-07,95.86,
2005-10,93.74,
2006-01,92.77,
2006-04,90.92,
2006-07,89.35,
2006-10,89.35,
2007-01,116.11,
2007-04,113.21,
2007-07,111.83,
2007-10,112.00,
2008-01,137.92,
2008-04,135.30,
2008-07,134.49,
2008-10,134.99,
2009-01,132.63,
2009-04,131.84,
2009-07,130.81,
2009-10,130.47,
2010-01,100.01,
2010-04,100.06,
2010-07,98.73,
2010-10,101.19,
2011-01,86.41,
2011-04,85.99,
2011-07,85.62,
2011-10,86.48,
2012-01,99.38,
2012-04,98.85,
2012-07,98.12,
2012-10,97.28,
2013-01,96.27,
2013-04,96.53,
2013-07,96.01,
2013-10,97.25,
2014-01,101.64,
2014-04,102.12,
2014-07,102.53,
2014-10,102.16,
