"",BBEX3.M.THB.USD.CA.AC.A01,BBEX3.M.THB.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Thailand / USD 1 = THB ... (middle),
unit,THB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:20,
1990-01,25.71500,
1990-02,25.80500,
1990-03,25.98500,
1990-04,26.01500,
1990-05,25.84500,
1990-06,25.79500,
1990-07,25.62500,
1990-08,25.48500,
1990-09,25.34500,
1990-10,25.09500,
1990-11,25.18500,
1990-12,25.29500,
1991-01,25.15500,
1991-02,25.24500,
1991-03,25.65500,
1991-04,25.65500,
1991-05,25.63500,
1991-06,25.71500,
1991-07,25.75500,
1991-08,25.72500,
1991-09,25.54500,
1991-10,25.57500,
1991-11,25.48500,
1991-12,25.28500,
1992-01,25.40500,
1992-02,25.50500,
1992-03,25.60500,
1992-04,25.63500,
1992-05,25.48500,
1992-06,25.29500,
1992-07,25.31500,
1992-08,25.13500,
1992-09,25.09500,
1992-10,25.37500,
1992-11,25.51500,
1992-12,25.52500,
1993-01,25.49500,
1993-02,25.43500,
1993-03,25.36500,
1993-04,25.20500,
1993-05,25.13500,
1993-06,25.25500,
1993-07,25.29500,
1993-08,25.17500,
1993-09,25.20500,
1993-10,25.34500,
1993-11,25.42500,
1993-12,25.54500,
1994-01,25.48500,
1994-02,25.29500,
1994-03,25.23500,
1994-04,25.16500,
1994-05,25.20500,
1994-06,24.99500,
1994-07,25.03500,
1994-08,25.02500,
1994-09,24.97500,
1994-10,24.92500,
1994-11,25.05500,
1994-12,25.09500,
1995-01,25.02500,
1995-02,24.95500,
1995-03,24.74500,
1995-04,24.58500,
1995-05,24.63500,
1995-06,24.66500,
1995-07,24.75500,
1995-08,25.09500,
1995-09,25.10500,
1995-10,25.14500,
1995-11,25.16500,
1995-12,25.19500,
1996-01,25.35500,
1996-02,25.18500,
1996-03,25.23500,
1996-04,25.23500,
1996-05,25.34500,
1996-06,25.36500,
1996-07,25.27500,
1996-08,25.29500,
1996-09,25.42500,
1996-10,25.49500,
1996-11,25.51500,
1996-12,25.61500,
1997-01,25.87500,
1997-02,25.89500,
1997-03,25.97500,
1997-04,26.10500,
1997-05,25.80500,
1997-06,25.79500,
1997-07,31.62570,comment
1997-08,34.17335,
1997-09,36.44905,
1997-10,39.69945,
1997-11,40.05420,
1997-12,47.30300,
1998-01,54.82925,
1998-02,42.82860,
1998-03,38.19505,
1998-04,38.73560,
1998-05,40.22370,
1998-06,42.38880,
1998-07,40.83635,
1998-08,41.96945,
1998-09,39.28290,
1998-10,36.76450,
1998-11,36.09800,
1998-12,36.74240,
1999-01,36.86850,
1999-02,37.42925,
1999-03,37.67280,
1999-04,37.23955,
1999-05,37.10750,
1999-06,36.88415,
1999-07,37.13500,
1999-08,38.34675,
1999-09,41.02710,
1999-10,38.74960,
1999-11,39.07500,
1999-12,37.51915,
2000-01,37.53935,
2000-02,38.00120,
2000-03,37.85595,
2000-04,38.06740,
2000-05,39.16270,
2000-06,39.17075,
2000-07,41.49805,
2000-08,40.92740,
2000-09,42.26425,
2000-10,44.00225,
2000-11,43.92805,
2000-12,43.31650,
2001-01,42.59790,
2001-02,42.91305,
2001-03,44.81985,
2001-04,45.58835,
2001-05,45.33805,
2001-06,45.25395,
2001-07,45.73725,
2001-08,44.14405,
2001-09,44.42915,
2001-10,44.66840,
2001-11,44.03525,
2001-12,44.26965,
2002-01,43.96875,
2002-02,43.73090,
2002-03,43.33075,
2002-04,43.24730,
2002-05,42.42315,
2002-06,41.57450,
2002-07,42.00165,
2002-08,42.21735,
2002-09,43.38950,
2002-10,43.32060,
2002-11,43.39570,
2002-12,43.19930,
2003-01,42.76550,
2003-02,42.66460,
2003-03,42.90230,
2003-04,42.85215,
2003-05,41.71095,
2003-06,42.02525,
2003-07,42.00590,
2003-08,41.18810,
2003-09,39.99700,
2003-10,39.92015,
2003-11,39.92055,
2003-12,39.63815,
2004-01,39.28205,
2004-02,39.32675,
2004-03,39.45570,
2004-04,40.00165,
2004-05,40.51840,
2004-06,40.93340,
2004-07,41.37050,
2004-08,41.64815,
2004-09,41.49360,
2004-10,41.04410,
2004-11,39.55845,
2004-12,39.10860,
2005-01,38.55175,
2005-02,38.32600,
2005-03,39.15990,
2005-04,39.61495,
2005-05,40.51740,
2005-06,41.31580,
2005-07,41.74435,
2005-08,41.35590,
2005-09,41.01110,
2005-10,40.78850,
2005-11,41.21945,
2005-12,41.07860,
2006-01,39.10415,
2006-02,39.31505,
2006-03,38.84430,
2006-04,37.52060,
2006-05,38.14070,
2006-06,38.23510,
2006-07,37.85630,
2006-08,37.59110,
2006-09,37.54160,
2006-10,36.78450,
2006-11,36.04530,
2006-12,36.09315,
2007-01,35.80875,
2007-02,35.44155,
2007-03,35.01595,
2007-04,34.79235,
2007-05,34.64825,
2007-06,34.54530,
2007-07,33.80600,
2007-08,34.33700,
2007-09,34.26345,
2007-10,34.00370,
2007-11,33.85410,
2007-12,33.76730,
2008-01,33.02855,
2008-02,31.90010,
2008-03,31.50790,
2008-04,31.74780,
2008-05,32.45050,
2008-06,33.59195,
2008-07,33.53330,
2008-08,34.16740,
2008-09,34.05020,
2008-10,34.97470,
2008-11,35.43000,
2008-12,34.94375,
2009-01,34.93405,
2009-02,36.05120,
2009-03,35.52695,
2009-04,35.31715,
2009-05,34.38245,
2009-06,34.02930,
2009-07,34.04030,
2009-08,34.01510,
2009-09,33.55945,
2009-10,33.43420,
2009-11,33.21095,
2009-12,33.36875,
2010-01,33.15295,
2010-02,33.08295,
2010-03,32.37325,
2010-04,32.30245,
2010-05,32.54000,
2010-06,32.44400,
2010-07,32.26955,
2010-08,31.30225,
2010-09,30.41595,
2010-10,29.97095,
2010-11,30.21930,
2010-12,30.15130,
2011-01,31.14370,
2011-02,30.61450,
2011-03,30.29665,
2011-04,29.94235,
2011-05,30.30630,
2011-06,30.74715,
2011-07,29.75375,
2011-08,30.02480,
2011-09,31.16735,
2011-10,30.66865,
2011-11,31.21820,
2011-12,31.69120,
2012-01,31.04325,
2012-02,30.24825,
2012-03,30.84310,
2012-04,30.72975,
2012-05,31.89565,
2012-06,31.82610,
2012-07,31.57760,
2012-08,31.37420,
2012-09,30.82875,
2012-10,30.69480,
2012-11,30.69660,
2012-12,30.63160,
2013-01,29.77290,
2013-02,29.80455,
2013-03,29.24300,
2013-04,29.31870,
2013-05,30.15350,
2013-06,31.12710,
2013-07,31.35000,
2013-08,32.07715,
2013-09,31.39065,
2013-10,31.08780,
2013-11,32.09890,
2013-12,32.81360,
2014-01,32.99745,
2014-02,32.61795,
2014-03,32.44320,
2014-04,32.30330,
