"",BBK01.OEAD08L,BBK01.OEAD08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:53,
2002-01,3.785,
2002-04,3.795,
2002-07,3.711,
2002-10,2.994,
2003-01,3.053,
2003-04,2.752,
2003-07,2.651,
2003-10,2.554,
2004-01,2.567,
2004-04,2.473,
2004-07,2.486,
2004-10,2.424,
2005-01,2.395,
2005-04,2.387,
2005-07,2.369,
2005-10,2.272,
2006-01,2.268,
2006-04,2.324,
2006-07,2.322,
2006-10,2.288,
2007-01,2.264,
2007-04,2.336,
2007-07,2.510,
2007-10,2.630,
2008-01,2.621,
2008-04,2.606,
2008-07,2.698,
2008-10,2.331,
2009-01,2.274,
2009-04,2.334,
2009-07,2.180,
2009-10,2.075,
2010-01,1.849,
2010-04,1.914,
2010-07,1.986,
2010-10,1.830,
2011-01,1.892,
2011-04,1.884,
2011-07,1.915,
2011-10,1.773,
2012-01,1.867,
2012-04,1.797,
2012-07,1.913,
2012-10,1.787,
2013-01,1.827,
2013-04,1.774,
2013-07,1.771,
2013-10,1.517,
2014-01,1.587,
2014-04,1.616,
2014-07,1.494,
