"",BBK01.OEBB24I,BBK01.OEBB24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:57,
2002-01,1.242,
2002-04,1.107,
2002-07,1.069,
2002-10,1.066,
2003-01,1.048,
2003-04,0.989,
2003-07,0.985,
2003-10,0.962,
2004-01,0.974,
2004-04,0.962,
2004-07,1.114,
2004-10,1.014,
2005-01,2.196,
2005-04,1.881,
2005-07,1.838,
2005-10,1.690,
2006-01,1.496,
2006-04,1.402,
2006-07,1.218,
2006-10,1.132,
2007-01,1.152,
2007-04,1.180,
2007-07,1.177,
2007-10,1.131,
2008-01,1.069,
2008-04,1.016,
2008-07,0.972,
2008-10,0.958,
2009-01,0.880,
2009-04,0.912,
2009-07,0.917,
2009-10,0.928,
2010-01,1.109,
2010-04,1.183,
2010-07,1.701,
2010-10,1.773,
2011-01,1.688,
2011-04,1.601,
2011-07,1.533,
2011-10,1.554,
2012-01,1.596,
2012-04,1.634,
2012-07,1.785,
2012-10,1.810,
2013-01,1.333,
2013-04,1.901,
2013-07,1.766,
2013-10,1.776,
2014-01,1.919,
2014-04,1.845,
2014-07,1.959,
