"",BBEX3.M.NOK.USD.CA.AC.A01,BBEX3.M.NOK.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Norway / USD 1 = NOK ... (middle),
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:49,
1989-01,6.7330,
1989-02,6.7050,
1989-03,6.8740,
1989-04,6.8140,
1989-05,7.1810,
1989-06,7.1420,
1989-07,6.8600,
1989-08,7.1300,
1989-09,6.8930,
1989-10,6.8980,
1989-11,6.8310,
1989-12,6.6150,
1990-01,6.4890,
1990-02,6.5180,
1990-03,6.5590,
1990-04,6.5320,
1990-05,6.4910,
1990-06,6.4210,
1990-07,6.1860,
1990-08,6.0590,
1990-09,6.0650,
1990-10,5.9080,
1990-11,5.8760,
1990-12,5.9075,
1991-01,5.8220,
1991-02,5.9410,
1991-03,6.5480,
1991-04,6.7450,
1991-05,6.7200,
1991-06,7.0680,
1991-07,6.8210,
1991-08,6.8020,
1991-09,6.5070,
1991-10,6.5700,
1991-11,6.4200,
1991-12,5.9730,
1992-01,6.3285,
1992-02,6.4292,
1992-03,6.4462,
1992-04,6.4770,
1992-05,6.2745,
1992-06,5.9730,
1992-07,5.8165,
1992-08,5.5820,
1992-09,5.7210,
1992-10,6.2535,
1992-11,6.5525,
1992-12,6.9245,comment
1993-01,6.7860,
1993-02,7.0030,
1993-03,6.8695,
1993-04,6.6905,
1993-05,6.8020,
1993-06,7.1460,
1993-07,7.4605,
1993-08,7.2605,
1993-09,7.0665,
1993-10,7.3210,
1993-11,7.4345,
1993-12,7.5180,
1994-01,7.4840,
1994-02,7.4330,
1994-03,7.3005,
1994-04,7.2170,
1994-05,7.1180,
1994-06,6.9635,
1994-07,6.9450,
1994-08,6.9310,
1994-09,6.7745,
1994-10,6.5695,
1994-11,6.8405,
1994-12,6.7620,
1995-01,6.6055,
1995-02,6.4840,
1995-03,6.1825,
1995-04,6.1985,
1995-05,6.1795,
1995-06,6.1715,
1995-07,6.1230,
1995-08,6.4160,
1995-09,6.2420,
1995-10,6.2415,
1995-11,6.3290,
1995-12,6.3190,
1996-01,6.5285,
1996-02,6.3905,
1996-03,6.4090,
1996-04,6.5650,
1996-05,6.5610,
1996-06,6.5005,
1996-07,6.3640,
1996-08,6.4125,
1996-09,6.5075,
1996-10,6.3845,
1996-11,6.4015,
1996-12,6.4425,
1997-01,6.5055,
1997-02,6.7420,
1997-03,6.6635,
1997-04,7.1080,
1997-05,7.0890,
1997-06,7.2925,
1997-07,7.6065,
1997-08,7.4020,
1997-09,7.1050,
1997-10,7.0175,
1997-11,7.1970,
1997-12,7.3157,
1998-01,7.6060,
1998-02,7.5535,
1998-03,7.6185,
1998-04,7.4470,
1998-05,7.5540,
1998-06,7.6693,
1998-07,7.5490,
1998-08,7.8866,
1998-09,7.3779,
1998-10,7.3523,
1998-11,7.5417,
1998-12,7.5996,
1999-01,7.4995,
1999-02,7.9200,
1999-03,7.7900,
1999-04,7.7885,
1999-05,7.8740,
1999-06,7.8445,
1999-07,7.8035,
1999-08,7.8825,
1999-09,7.7605,
1999-10,7.8229,
1999-11,8.0654,
1999-12,8.0360,
2000-01,8.2505,
2000-02,8.3465,
2000-03,8.4370,
2000-04,8.9387,
2000-05,8.9363,
2000-06,8.5740,
2000-07,8.8571,
2000-08,9.0477,
2000-09,9.1003,
2000-10,9.3930,
2000-11,9.3463,
2000-12,8.8945,
2001-01,8.8005,
2001-02,8.9425,
2001-03,9.1157,
2001-04,9.0935,
2001-05,9.2837,
2001-06,9.3221,
2001-07,9.1189,
2001-08,8.7898,
2001-09,8.8477,
2001-10,8.8265,
2001-11,8.9719,
2001-12,9.0133,
2002-01,9.0914,
2002-02,8.9089,
2002-03,8.8072,
2002-04,8.3966,
2002-05,7.9694,
2002-06,7.4813,
2002-07,7.5801,
2002-08,7.4983,
2002-09,7.4660,
2002-10,7.4688,
2002-11,7.3306,
2002-12,6.9559,
2003-01,6.8822,
2003-02,7.2229,
2003-03,7.2855,
2003-04,7.0395,
2003-05,6.6366,
2003-06,7.2162,
2003-07,7.2033,
2003-08,7.6028,
2003-09,7.0167,
2003-10,7.0569,
2003-11,6.8448,
2003-12,6.6819,
2004-01,7.0885,
2004-02,7.0249,
2004-03,6.8606,
2004-04,6.8529,
2004-05,6.7036,
2004-06,6.9479,
2004-07,7.0078,
2004-08,6.9451,
2004-09,6.7854,
2004-10,6.3901,
2004-11,6.1304,
2004-12,6.0441,
2005-01,6.3462,
2005-02,6.2223,
2005-03,6.3350,
2005-04,6.2810,
2005-05,6.4482,
2005-06,6.5431,
2005-07,6.5185,
2005-08,6.4604,
2005-09,6.5255,
2005-10,6.4706,
2005-11,6.7545,
2005-12,6.7612,
2006-01,6.7144,
2006-02,6.7755,
2006-03,6.5595,
2006-04,6.1964,
2006-05,6.0623,
2006-06,6.2313,
2006-07,6.1775,
2006-08,6.2970,
2006-09,6.4795,
2006-10,6.5673,
2006-11,6.2176,
2006-12,6.2689,
2007-01,6.2942,
2007-02,6.1422,
2007-03,6.0865,
2007-04,5.9778,
2007-05,6.0610,
2007-06,5.9075,
2007-07,5.8290,
2007-08,5.8138,
2007-09,5.4426,
2007-10,5.3478,
2007-11,5.5074,
2007-12,5.4042,
2008-01,5.4295,
2008-02,5.1761,
2008-03,5.1080,
2008-04,5.1369,
2008-05,5.0880,
2008-06,5.0546,
2008-07,5.1326,
2008-08,5.3750,
2008-09,5.7955,
2008-10,6.7244,
2008-11,6.9095,
2008-12,6.9991,
2009-01,6.9145,
2009-02,6.9782,
2009-03,6.7657,
2009-04,6.5384,
2009-05,6.4015,
2009-06,6.3874,
2009-07,6.1917,
2009-08,6.0445,
2009-09,5.8196,
2009-10,5.6562,
2009-11,5.6344,
2009-12,5.7571,
2010-01,5.8848,
2010-02,5.9411,
2010-03,5.9775,
2010-04,5.8948,
2010-05,6.4598,
2010-06,6.4695,
2010-07,6.0730,
2010-08,6.3400,
2010-09,5.8617,
2010-10,5.9420,
2010-11,6.1546,
2010-12,5.8487,
2011-01,5.8092,
2011-02,5.6323,
