"",BBK01.QUW002,BBK01.QUW002_FLAGS
"",Banks in Germany: Short-term liabilities to non-residents / Marshall Islands / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:28:28,
2001-12,0.029,
2002-01,0.021,
2002-02,0.025,
2002-03,0.033,
2002-04,0.025,
2002-05,0.027,
2002-06,0.022,
2002-07,0.023,
2002-08,0.022,
2002-09,0.020,
2002-10,0.022,
2002-11,0.022,
2002-12,0.018,
2003-01,0.020,
2003-02,0.022,
2003-03,0.021,
2003-04,0.018,
2003-05,0.019,
2003-06,0.019,
2003-07,0.023,
2003-08,0.027,
2003-09,0.027,
2003-10,0.031,
2003-11,0.024,
2003-12,0.025,
2004-01,0.033,
2004-02,0.028,
2004-03,0.059,
2004-04,0.060,
2004-05,0.072,
2004-06,0.057,
2004-07,0.101,
2004-08,0.053,
2004-09,0.046,
2004-10,0.045,
2004-11,0.076,
2004-12,0.034,
2005-01,0.073,
2005-02,0.089,
2005-03,0.073,
2005-04,0.091,
2005-05,0.104,
2005-06,0.079,
2005-07,0.082,
2005-08,0.138,
2005-09,0.117,
2005-10,0.151,
2005-11,0.162,
2005-12,0.079,
2006-01,0.099,
2006-02,0.137,
2006-03,0.116,
2006-04,0.303,
2006-05,0.254,
2006-06,0.188,
2006-07,0.241,
2006-08,0.182,
2006-09,0.201,
2006-10,0.199,
2006-11,0.259,
2006-12,0.166,
2007-01,0.400,
2007-02,0.333,
2007-03,0.342,
2007-04,0.332,
2007-05,0.316,
2007-06,0.298,
2007-07,0.335,
2007-08,0.316,
2007-09,0.347,
2007-10,0.341,
2007-11,0.402,
2007-12,0.470,
2008-01,0.502,
2008-02,0.388,
2008-03,0.326,
2008-04,0.372,
2008-05,0.261,
2008-06,0.344,
2008-07,0.373,
2008-08,0.429,
2008-09,0.436,
2008-10,0.489,
2008-11,0.389,
2008-12,0.355,
2009-01,0.363,
2009-02,0.430,
2009-03,0.381,
2009-04,0.404,
2009-05,0.400,
2009-06,0.440,
2009-07,0.472,
2009-08,0.437,
2009-09,0.463,
2009-10,0.416,
2009-11,0.444,
2009-12,0.462,
2010-01,0.473,
2010-02,0.496,
2010-03,0.560,
2010-04,0.714,
2010-05,0.763,
2010-06,0.688,
2010-07,0.621,
2010-08,0.608,
2010-09,0.627,
2010-10,0.481,
2010-11,0.490,
2010-12,0.532,
2011-01,0.539,
2011-02,0.505,
2011-03,0.540,
2011-04,0.529,
2011-05,0.549,
2011-06,0.550,
2011-07,0.599,
2011-08,0.535,
2011-09,0.661,
2011-10,0.633,
2011-11,0.642,
2011-12,0.695,
2012-01,0.686,
2012-02,0.661,
2012-03,0.636,
2012-04,0.636,
2012-05,0.705,
2012-06,0.717,
2012-07,0.721,
2012-08,0.690,
2012-09,0.661,
2012-10,0.752,
2012-11,0.664,
2012-12,0.719,
2013-01,0.712,
2013-02,0.663,
2013-03,0.708,
2013-04,0.737,
2013-05,0.633,
2013-06,0.774,
2013-07,0.716,
2013-08,0.722,
2013-09,0.501,
2013-10,0.591,
2013-11,0.426,
2013-12,0.434,
2014-01,0.479,
2014-02,0.440,
2014-03,0.509,
2014-04,0.550,
2014-05,0.580,
2014-06,0.580,
2014-07,0.614,
2014-08,0.671,
2014-09,0.702,
2014-10,0.701,
2014-11,0.622,
2014-12,0.807,
