"",BBK01.OEAO01V,BBK01.OEAO01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:10,
2002-01,23.255,
2002-04,22.989,
2002-07,22.231,
2002-10,22.231,
2003-01,22.932,
2003-04,22.973,
2003-07,22.722,
2003-10,22.691,
2004-01,23.135,
2004-04,23.100,
2004-07,22.942,
2004-10,22.920,
2005-01,24.900,
2005-04,25.033,
2005-07,24.858,
2005-10,24.614,
2006-01,24.861,
2006-04,24.736,
2006-07,24.461,
2006-10,24.123,
2007-01,24.339,
2007-04,24.261,
2007-07,23.887,
2007-10,23.664,
2008-01,23.994,
2008-04,23.714,
2008-07,23.320,
2008-10,22.951,
2009-01,23.761,
2009-04,23.922,
2009-07,23.944,
2009-10,23.975,
2010-01,24.338,
2010-04,24.388,
2010-07,24.277,
2010-10,24.146,
2011-01,24.660,
2011-04,24.839,
2011-07,24.514,
2011-10,24.452,
2012-01,24.617,
2012-04,24.786,
2012-07,24.861,
2012-10,25.015,
2013-01,25.251,
2013-04,25.146,
2013-07,24.920,
2013-10,24.796,
2014-01,24.927,
2014-04,24.992,
2014-07,24.848,
