"",BBK01.OEBL03G,BBK01.OEBL03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:12,
2002-01,8.597,
2002-04,8.220,
2002-07,8.444,
2002-10,8.201,
2003-01,7.932,
2003-04,7.574,
2003-07,7.015,
2003-10,6.676,
2004-01,6.447,
2004-04,6.345,
2004-07,6.204,
2004-10,6.233,
2005-01,1.955,
2005-04,1.983,
2005-07,1.541,
2005-10,1.712,
2006-01,1.765,
2006-04,1.764,
2006-07,1.921,
2006-10,2.290,
2007-01,2.678,
2007-04,2.980,
2007-07,3.475,
2007-10,4.644,
2008-01,5.783,
2008-04,6.110,
2008-07,7.211,
2008-10,8.094,
2009-01,11.506,
2009-04,12.273,
2009-07,11.271,
2009-10,10.719,
2010-01,7.935,
2010-04,7.531,
2010-07,7.473,
2010-10,7.674,
2011-01,7.546,
2011-04,7.472,
2011-07,7.996,
2011-10,8.489,
2012-01,8.365,
2012-04,8.828,
2012-07,8.537,
2012-10,9.072,
2013-01,9.522,
2013-04,8.623,
2013-07,7.762,
2013-10,7.487,
2014-01,7.424,
2014-04,7.491,
2014-07,7.433,
