"",BBK01.OEAE28R,BBK01.OEAE28R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:43,
2002-01,4.597,
2002-04,4.598,
2002-07,4.637,
2002-10,4.667,
2003-01,4.390,
2003-04,4.426,
2003-07,4.443,
2003-10,4.522,
2004-01,4.498,
2004-04,4.453,
2004-07,4.475,
2004-10,4.458,
2005-01,4.523,
2005-04,4.480,
2005-07,4.520,
2005-10,4.578,
2006-01,4.593,
2006-04,4.657,
2006-07,4.722,
2006-10,4.776,
2007-01,4.781,
2007-04,4.652,
2007-07,4.606,
2007-10,4.765,
2008-01,5.047,
2008-04,5.104,
2008-07,5.109,
2008-10,5.139,
2009-01,5.092,
2009-04,5.229,
2009-07,5.273,
2009-10,5.671,
2010-01,5.460,
2010-04,5.536,
2010-07,5.597,
2010-10,5.650,
2011-01,5.697,
2011-04,5.735,
2011-07,5.768,
2011-10,5.844,
2012-01,5.941,
2012-04,6.271,
2012-07,6.305,
2012-10,6.409,
2013-01,6.393,
2013-04,6.480,
2013-07,6.453,
2013-10,6.518,
2014-01,6.575,
2014-04,6.617,
2014-07,6.631,
