"",BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:43,
1991-01,-193.124,
1991-04,409.075,
1991-07,183.462,
1991-10,1025.238,
1992-01,303.925,
1992-04,880.324,
1992-07,1940.165,
1992-10,-931.627,
1993-01,1196.692,
1993-04,427.124,
1993-07,607.265,
1993-10,442.044,
1994-01,51.058,
1994-04,1346.527,
1994-07,-30.036,
1994-10,-851.736,
1995-01,-1059.579,
1995-04,-1301.594,
1995-07,246.309,
1995-10,300.678,
1996-01,1847.219,
1996-04,-446.494,
1996-07,-1632.881,
1996-10,1172.301,
1997-01,1152.500,
1997-04,338.688,
1997-07,-1343.173,
1997-10,4694.472,
1998-01,1340.312,
1998-04,2210.729,
1998-07,-3536.068,
1998-10,4061.476,
1999-01,2015.655,
1999-04,-4610.433,
1999-07,-920.266,
1999-10,5174.678,
2000-01,3583.094,
2000-04,-407.831,
2000-07,875.182,
2000-10,2982.585,
2001-01,2021.864,
2001-04,4478.847,
2001-07,-1563.956,
2001-10,2703.194,
2002-01,475.530,
2002-04,2568.271,
2002-07,-2550.459,
2002-10,-2135.349,
2003-01,4485.334,
2003-04,1349.696,
2003-07,-328.903,
2003-10,-3479.808,
2004-01,-1568.591,
2004-04,-1495.908,
2004-07,-1591.671,
2004-10,2609.975,
2005-01,1855.352,
2005-04,-401.537,
2005-07,4498.630,
2005-10,2844.507,
2006-01,-695.289,
2006-04,507.655,
2006-07,2910.355,
2006-10,4583.367,
2007-01,-275.560,
2007-04,14157.607,
2007-07,-9241.087,
2007-10,10609.725,
2008-01,4513.020,
2008-04,15372.995,
2008-07,-5836.133,
2008-10,-7664.765,
2009-01,-18264.403,
2009-04,-1277.236,
2009-07,-1306.070,
2009-10,3609.071,
2010-01,-2794.913,
2010-04,-2932.355,
2010-07,-9429.809,
2010-10,-1292.895,
2011-01,-1442.391,
2011-04,1083.553,
2011-07,12192.060,
2011-10,14841.102,
2012-01,-7107.736,
2012-04,60754.030,
2012-07,-22922.536,
2012-10,-6902.382,
2013-01,-6759.466,
2013-04,-2427.511,
2013-07,702.284,
2013-10,1569.541,
2014-01,-23460.906,Provisional value
2014-04,3836.536,Provisional value
2014-07,-17817.721,Provisional value
2014-10,7416.657,Provisional value
